Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene stable ID	Gene name	Gene type
X	131930953	131931740	-1	ENSMUSG00000083205	Gm7821	processed_pseudogene
X	150642558	150642633	1	ENSMUSG00000093219	Mir3113	miRNA
X	131994689	131996311	-1	ENSMUSG00000082905	Gm7823	processed_pseudogene
5	104103306	104125276	-1	ENSMUSG00000034528	Hsd17b13	protein_coding
X	132111235	132112269	1	ENSMUSG00000083858	Gm14979	processed_pseudogene
X	132276966	132277302	-1	ENSMUSG00002076200	Gm54538	misc_RNA
X	132307124	132307859	-1	ENSMUSG00000083062	Gm14980	processed_pseudogene
2	27079394	27124722	1	ENSMUSG00000091192	Sardhos	lncRNA
2	89496214	89502280	-1	ENSMUSG00000111567	Or4a78	protein_coding
X	72935048	72965476	-1	ENSMUSG00000031389	Arhgap4	protein_coding
2	3489887	3513851	-1	ENSMUSG00000109865	Hspa14	protein_coding
10	88506357	88507131	-1	ENSMUSG00000112869	Gm48108	processed_pseudogene
10	88508881	88509252	1	ENSMUSG00000112885	Gm29807	processed_pseudogene
4	62107777	62149284	-1	ENSMUSG00000028389	Zfp37	protein_coding
10	34754620	34941308	1	ENSMUSG00000111042	Gm18252	transcribed_processed_pseudogene
10	34774252	34774816	1	ENSMUSG00000110935	Gm8834	processed_pseudogene
10	34988194	34988327	1	ENSMUSG00000077749	Gm26341	snoRNA
10	35018309	35018574	1	ENSMUSG00000111216	Gm47044	processed_pseudogene
10	35118119	35118739	-1	ENSMUSG00000110837	Gm18729	processed_pseudogene
10	35354823	35361392	-1	ENSMUSG00000111753	1700054O05Rik	lncRNA
10	35584671	35587888	-1	ENSMUSG00000063953	Amd2	protein_coding
10	35714486	35730471	1	ENSMUSG00000111550	Gm40623	lncRNA
10	35725306	35735446	-1	ENSMUSG00000110865	Gm47046	processed_pseudogene
10	35971872	35972491	1	ENSMUSG00000110987	Gm47048	processed_pseudogene
10	36267588	36272924	1	ENSMUSG00000110731	Gm47049	lncRNA
19	60762767	60762835	-1	ENSMUSG00000118735	Mir3084-2	miRNA
19	60762768	60762899	-1	ENSMUSG00002075991	Snora19	snoRNA
19	60763959	60764077	-1	ENSMUSG00002075125	Gm54606	snoRNA
10	88510634	88520877	-1	ENSMUSG00000004359	Spic	protein_coding
19	29585614	29625815	-1	ENSMUSG00000046324	Ermp1	protein_coding
13	25089576	25098255	1	ENSMUSG00000086796	4932702P03Rik	lncRNA
13	101817071	101904725	-1	ENSMUSG00000041417	Pik3r1	protein_coding
4	62180799	62216648	1	ENSMUSG00000066152	Slc31a2	protein_coding
15	64268228	64305447	1	ENSMUSG00000115169	Gm30563	lncRNA
15	64499258	64505357	-1	ENSMUSG00000115328	Gm30691	lncRNA
7	13580086	13581541	1	ENSMUSG00000081982	Sult2a-ps2	unprocessed_pseudogene
15	85220446	85347413	1	ENSMUSG00000016541	Atxn10	protein_coding
9	80072313	80219011	1	ENSMUSG00000033577	Myo6	protein_coding
5	104137236	104137457	1	ENSMUSG00000082527	Gm8200	processed_pseudogene
7	13582654	13582867	1	ENSMUSG00000100566	Tmem167-ps2	processed_pseudogene
7	43300494	43309585	-1	ENSMUSG00000030474	Siglece	protein_coding
14	65835995	65885980	1	ENSMUSG00000061356	Nuggc	protein_coding
5	5629278	5714239	-1	ENSMUSG00000040473	Cfap69	protein_coding
15	85235264	85235455	-1	ENSMUSG00000064764	Gm23517	snRNA
15	85376937	85387428	-1	ENSMUSG00000096607	7530416G11Rik	protein_coding
2	89549919	89555356	-1	ENSMUSG00000110819	Or4a79	protein_coding
4	62182551	62182657	1	ENSMUSG00000118769	Gm23148	snRNA
10	88540457	88540937	1	ENSMUSG00000111919	Gm46192	processed_pseudogene
10	88545870	88545989	-1	ENSMUSG00002076134	Gm54840	rRNA
17	34416695	34420428	1	ENSMUSG00000024338	Psmb8	protein_coding
15	85395013	85395420	1	ENSMUSG00000063548	Gm4825	processed_pseudogene
10	88551512	88551956	-1	ENSMUSG00000112467	Gm48144	processed_pseudogene
4	148888886	149039346	1	ENSMUSG00000028977	Casz1	protein_coding
10	88565403	88566963	-1	ENSMUSG00000069540	Gm4925	transcribed_processed_pseudogene
14	65903852	66002275	1	ENSMUSG00000022032	Scara5	protein_coding
15	64568933	64794145	-1	ENSMUSG00000022376	Adcy8	protein_coding
2	89579811	89587434	-1	ENSMUSG00000075075	Or4a80	protein_coding
10	36382810	36710393	1	ENSMUSG00000044499	Hs3st5	protein_coding
2	64742820	64855331	-1	ENSMUSG00000026888	Grb14	protein_coding
6	88896690	88899619	1	ENSMUSG00000107676	Gm44178	TEC
7	43320265	43320738	-1	ENSMUSG00000108783	Gm36546	lncRNA
6	124407540	124441753	-1	ENSMUSG00000008153	Clstn3	protein_coding
7	13643601	13723532	-1	ENSMUSG00000074377	Sult2a4	protein_coding
1	179630941	179632241	1	ENSMUSG00000073486	Gm10518	lncRNA
7	43321440	43327722	1	ENSMUSG00000038888	Ctu1	protein_coding
1	10094826	10108393	-1	ENSMUSG00000025917	Cops5	protein_coding
17	34418290	34424423	-1	ENSMUSG00000092550	Gm20496	lncRNA
17	34422501	34435295	1	ENSMUSG00000024339	Tap2	protein_coding
13	101886228	101888396	-1	ENSMUSG00000104214	Gm36638	TEC
12	87313253	87320772	1	ENSMUSG00000021037	Ahsa1	protein_coding
13	101889314	101889713	-1	ENSMUSG00000102635	Gm54655	TEC
13	101978048	101978814	-1	ENSMUSG00000114223	Gm19108	processed_pseudogene
7	13696897	13700140	-1	ENSMUSG00000099596	Zbed4-ps3	processed_pseudogene
13	101991999	101992859	1	ENSMUSG00000114762	Gm47007	lncRNA
13	102056928	102058899	1	ENSMUSG00000114717	Gm17832	processed_pseudogene
7	13740583	13740760	1	ENSMUSG00000099744	Tmem167-ps3	processed_pseudogene
13	102250625	102252543	-1	ENSMUSG00000102542	Gm38133	TEC
13	102365177	102365460	1	ENSMUSG00002076822	Gm54656	misc_RNA
7	83281167	83302335	1	ENSMUSG00000046027	Stard5	protein_coding
13	102503399	102503660	-1	ENSMUSG00000114444	Gm47008	processed_pseudogene
13	25091562	25121644	-1	ENSMUSG00000035936	Aldh5a1	protein_coding
10	36487896	36490070	-1	ENSMUSG00000111231	Gm47054	TEC
10	36651781	36651927	-1	ENSMUSG00000088423	Gm22554	snoRNA
10	88566720	88579956	1	ENSMUSG00000060904	Arl1	protein_coding
15	64689543	64809845	1	ENSMUSG00000094296	Gm21798	protein_coding
15	64851393	64886753	-1	ENSMUSG00000079024	Gm21961	protein_coding
15	64887003	64887613	1	ENSMUSG00000072541	Gm5046	processed_pseudogene
15	64913423	64913916	1	ENSMUSG00000115677	Gm49241	processed_pseudogene
15	65067188	65067627	1	ENSMUSG00000115672	Gm7814	processed_pseudogene
15	65072083	65072411	-1	ENSMUSG00000115066	Gm49242	processed_pseudogene
15	65559677	65559997	-1	ENSMUSG00000115402	Gm49243	processed_pseudogene
15	65566398	65566586	1	ENSMUSG00000077783	Gm23907	snRNA
15	85419638	85466674	-1	ENSMUSG00000022382	Wnt7b	protein_coding
12	87313632	87313707	1	ENSMUSG00002075882	Gm54499	miRNA
19	29675224	29686034	1	ENSMUSG00000024806	Mlana	protein_coding
12	24715832	24731812	-1	ENSMUSG00000062563	Cys1	protein_coding
14	66043286	66055271	1	ENSMUSG00000022033	Pbk	protein_coding
13	102699695	102726793	-1	ENSMUSG00000114846	Gm29927	lncRNA
13	102741041	102743411	1	ENSMUSG00000114730	Gm47014	processed_pseudogene
6	88927665	89087013	1	ENSMUSG00000055403	4933427D06Rik	lncRNA
13	25121384	25125400	1	ENSMUSG00000086448	9330162012Rik	lncRNA
19	5790932	5808560	1	ENSMUSG00000024940	Ltbp3	protein_coding
13	102830066	102876137	1	ENSMUSG00000021624	Cd180	protein_coding
2	3505564	3513827	-1	ENSMUSG00000051396	Gm45902	protein_coding
7	43339842	43344960	1	ENSMUSG00000044737	Klk14	protein_coding
17	34430286	34433433	-1	ENSMUSG00000081512	Gm15821	lncRNA
14	66056487	66071443	-1	ENSMUSG00000022034	Esco2	protein_coding
17	24662752	24689287	-1	ENSMUSG00000024137	E4f1	protein_coding
10	66931904	67092105	1	ENSMUSG00000037876	Jmjd1c	protein_coding
15	85464453	85477909	1	ENSMUSG00000097209	AU022754	lncRNA
6	124443724	124447557	1	ENSMUSG00000118414	Gm50463	unitary_pseudogene
13	73966653	73995750	-1	ENSMUSG00000021567	Nkd2	protein_coding
6	124469122	124471327	-1	ENSMUSG00000107552	Gm44096	lncRNA
6	124470072	124487602	1	ENSMUSG00000038527	C1rl	protein_coding
7	83282579	83285025	1	ENSMUSG00000108825	Gm45838	TEC
15	85590804	85590898	1	ENSMUSG00000065608	Mirlet7c-2	miRNA
15	85591520	85591604	1	ENSMUSG00000065564	Mirlet7b	miRNA
15	85619184	85687020	1	ENSMUSG00000022383	Ppara	protein_coding
7	43342068	43342520	1	ENSMUSG00000108734	Gm44817	TEC
7	13801371	13856969	-1	ENSMUSG00000074375	Sult2a3	protein_coding
2	89617669	89623963	-1	ENSMUSG00000075074	Or4a81	protein_coding
16	93605428	93629907	-1	ENSMUSG00000116927	Gm30881	lncRNA
16	93629009	93672961	1	ENSMUSG00000039456	Morc3	protein_coding
8	13127189	13155459	-1	ENSMUSG00000038542	Pcid2	protein_coding
2	89642395	89648204	1	ENSMUSG00000045148	Or4c12b	protein_coding
12	87325412	87346479	-1	ENSMUSG00000050671	Ism2	protein_coding
7	26134538	26175567	1	ENSMUSG00000040601	Nlrp4a	protein_coding
2	3514067	3527413	1	ENSMUSG00000039496	Cdnf	protein_coding
1	179752517	179752976	-1	ENSMUSG00000104418	Gm37070	processed_pseudogene
6	89117976	89124370	1	ENSMUSG00000090254	Gm1965	lncRNA
1	152998502	153062193	-1	ENSMUSG00000026479	Lamc2	protein_coding
14	66074751	66104056	1	ENSMUSG00000022035	Ccdc25	protein_coding
2	3532322	3532637	1	ENSMUSG00000081278	Gm13186	processed_pseudogene
2	3551794	3552105	1	ENSMUSG00000082580	Gm13182	processed_pseudogene
2	89655655	89671899	-1	ENSMUSG00000075073	Or4a47	protein_coding
12	24758240	24764145	1	ENSMUSG00000020649	Rrm2	protein_coding
18	65111617	65134246	-1	ENSMUSG00000117895	Gm50368	lncRNA
18	65381932	65381997	1	ENSMUSG00000065402	Mir122	miRNA
18	65398600	65527137	-1	ENSMUSG00000032845	Alpk2	protein_coding
2	89672137	89678549	-1	ENSMUSG00000075072	Or4c58	protein_coding
2	89708781	89713370	1	ENSMUSG00000049057	Or4c10b	protein_coding
2	89757653	89766678	1	ENSMUSG00000049149	Or4c10	protein_coding
14	66156843	66191384	-1	ENSMUSG00000034463	Scara3	protein_coding
2	89770876	89779008	-1	ENSMUSG00000068806	Or4c12	protein_coding
3	36027920	36028240	1	ENSMUSG00000106096	B230207O21Rik	processed_pseudogene
3	80940261	80941081	1	ENSMUSG00000106293	Gm42476	lncRNA
3	36053982	36079255	1	ENSMUSG00000086392	Mccc1os	lncRNA
2	3571525	3783179	1	ENSMUSG00000026655	Fam107b	protein_coding
6	89161654	89163007	-1	ENSMUSG00000090013	Gm6507	lncRNA
4	148997968	148998781	-1	ENSMUSG00000086766	Gm15969	lncRNA
4	149031949	149033371	-1	ENSMUSG00000086606	Gm13205	lncRNA
6	89178235	89178541	1	ENSMUSG00000108221	Gm44203	processed_pseudogene
4	149044754	149069128	1	ENSMUSG00000086740	Gm17029	lncRNA
6	89188147	89193219	-1	ENSMUSG00000060416	Gm839	lncRNA
15	10177324	10349266	1	ENSMUSG00000005268	Prlr	protein_coding
12	24810224	24810617	1	ENSMUSG00000113062	Gm48895	processed_pseudogene
4	149044992	149184333	-1	ENSMUSG00000028975	Pex14	protein_coding
12	24812340	24814935	1	ENSMUSG00000114076	Gm48896	lncRNA
12	24826245	24826682	-1	ENSMUSG00000113018	Gm9318	processed_pseudogene
14	66198570	66200337	-1	ENSMUSG00000114844	Gm19222	processed_pseudogene
12	24829017	24829145	1	ENSMUSG00000089203	Gm26211	snoRNA
12	24829172	24829466	1	ENSMUSG00000114084	Gm48897	processed_pseudogene
3	152086494	152088805	-1	ENSMUSG00000104822	Gm42967	TEC
14	66205932	66218996	1	ENSMUSG00000022037	Clu	protein_coding
3	152089443	152090854	-1	ENSMUSG00000105710	Gm43859	TEC
12	24880878	25014396	1	ENSMUSG00000020646	Mboat2	protein_coding
3	152091897	152093674	1	ENSMUSG00000104546	Gm43858	TEC
6	89226450	89226584	-1	ENSMUSG00002076033	Gm54671	rRNA
3	152096799	152099877	-1	ENSMUSG00000104548	Gm43857	TEC
6	89246493	89262707	-1	ENSMUSG00000107622	4930512J16Rik	lncRNA
13	73978051	73978494	1	ENSMUSG00000066714	Gm8062	processed_pseudogene
18	65439501	65442947	1	ENSMUSG00000118101	F730048M01Rik	lncRNA
3	80943723	81121347	1	ENSMUSG00000028019	Pdgfc	protein_coding
13	74059466	74085903	-1	ENSMUSG00000021569	Trip13	protein_coding
7	13869347	13874929	-1	ENSMUSG00000084102	Sult2a-ps3	unprocessed_pseudogene
18	36877709	36890692	1	ENSMUSG00000024474	Ik	protein_coding
6	124489364	124500402	1	ENSMUSG00000055172	C1ra	protein_coding
7	26230609	26230718	1	ENSMUSG00002075792	Gm55088	miRNA
7	13905561	13927449	-1	ENSMUSG00000080705	Sult2a-ps4	unprocessed_pseudogene
1	80242640	80318197	-1	ENSMUSG00000004364	Cul3	protein_coding
7	13920553	13921006	-1	ENSMUSG00000100378	Rpap3-ps1	processed_pseudogene
7	13956328	13988795	-1	ENSMUSG00000070810	Sult2a6	protein_coding
8	13136509	13137430	1	ENSMUSG00000091784	Gm17022	processed_pseudogene
3	80944715	80947744	-1	ENSMUSG00000085106	Gm16000	lncRNA
8	108162997	108285227	1	ENSMUSG00000031930	Wwp2	protein_coding
3	81312600	81312879	-1	ENSMUSG00000102223	Gm37300	processed_pseudogene
3	81463348	81464132	-1	ENSMUSG00000102710	Gm4857	processed_pseudogene
3	81628983	81631337	1	ENSMUSG00000104732	Gm43346	lncRNA
2	3680839	3681627	-1	ENSMUSG00000080703	Gm13183	processed_pseudogene
2	3687399	3688467	1	ENSMUSG00000081070	Gm13181	processed_pseudogene
3	81709332	81712468	1	ENSMUSG00000103695	A830029E22Rik	lncRNA
2	3754023	3756214	-1	ENSMUSG00000085205	Gm13185	lncRNA
2	3856067	3878612	1	ENSMUSG00000085656	Gm13180	lncRNA
3	81788034	81788173	1	ENSMUSG00000089444	Gm22531	snoRNA
2	3926845	3930176	-1	ENSMUSG00000086445	Gm13191	lncRNA
3	81825315	81831770	-1	ENSMUSG00000056023	Gm9989	lncRNA
2	89804684	89811930	1	ENSMUSG00000042894	Or4c35	protein_coding
7	13960598	13962758	-1	ENSMUSG00000098354	Rpap3-ps2	processed_pseudogene
3	36061393	36107696	-1	ENSMUSG00000047696	Ccdc144b	protein_coding
7	14038705	14041590	1	ENSMUSG00000098506	Phf20-ps	processed_pseudogene
7	43361991	43376958	1	ENSMUSG00000054046	Klk13	protein_coding
4	149180840	149181159	1	ENSMUSG00000081086	Gm9506	processed_pseudogene
4	149188603	149205104	1	ENSMUSG00000028974	Dffa	protein_coding
16	93680789	93703003	1	ENSMUSG00000022945	Chaf1b	protein_coding
7	43365414	43365847	1	ENSMUSG00000108588	Gm44814	TEC
7	43418321	43423009	1	ENSMUSG00000044430	Klk12	protein_coding
6	89281612	89304603	1	ENSMUSG00000097816	Gm26811	lncRNA
3	81839908	81864032	1	ENSMUSG00000028015	Ctso	protein_coding
2	27152116	27317045	-1	ENSMUSG00000009621	Vav2	protein_coding
19	60800023	60824665	1	ENSMUSG00000024993	Dennd10	protein_coding
6	4504814	4541544	1	ENSMUSG00000029661	Col1a2	protein_coding
13	74072704	74072829	-1	ENSMUSG00002076824	Gm54665	miRNA
13	25127135	25176484	1	ENSMUSG00000021340	Gpld1	protein_coding
7	83292033	83394934	-1	ENSMUSG00000001741	Il16	protein_coding
3	36120128	36147002	1	ENSMUSG00000027710	Acad9	protein_coding
18	65475892	65476415	1	ENSMUSG00000117971	Gm50220	processed_pseudogene
18	65482228	65501895	1	ENSMUSG00000118163	Gm41757	lncRNA
18	65523405	65526102	1	ENSMUSG00000117721	Gm50221	lncRNA
4	149209491	149211220	-1	ENSMUSG00000028971	Cort	protein_coding
18	65552042	65552418	-1	ENSMUSG00000118285	Gm46618	processed_pseudogene
18	65560540	65560881	1	ENSMUSG00000093283	Gm22567	misc_RNA
18	36893273	36896863	1	ENSMUSG00000042660	Wdr55	protein_coding
1	80252448	80254130	-1	ENSMUSG00000103076	Gm37902	TEC
1	80303894	80305711	-1	ENSMUSG00000103525	Gm37262	TEC
4	149211578	149222086	-1	ENSMUSG00000073705	Cenps	protein_coding
1	80360539	80363968	1	ENSMUSG00000101722	Gm29125	lncRNA
1	80360821	80362902	-1	ENSMUSG00000090637	Gm6189	processed_pseudogene
1	153094668	153208532	-1	ENSMUSG00000026478	Lamc1	protein_coding
14	66224235	66246656	-1	ENSMUSG00000034450	Gulo	protein_coding
16	93685622	93687035	1	ENSMUSG00000116890	Gm49617	lncRNA
16	50012207	50252753	-1	ENSMUSG00000022641	Bbx	protein_coding
18	36896724	36899267	-1	ENSMUSG00000044595	Dnd1	protein_coding
19	29691802	29783389	-1	ENSMUSG00000046138	9930021J03Rik	protein_coding
14	66264778	66315182	-1	ENSMUSG00000022039	Adam2	protein_coding
17	24689366	24692084	1	ENSMUSG00000043445	Pgp	protein_coding
17	34457877	34473388	1	ENSMUSG00000041538	H2-Ob	protein_coding
18	36899581	36916258	-1	ENSMUSG00000001380	Hars	protein_coding
10	67071640	67071740	-1	ENSMUSG00000089498	Gm26359	snRNA
10	36850540	36877885	1	ENSMUSG00000019777	Hdac2	protein_coding
5	122869233	122917472	-1	ENSMUSG00000029471	Camkk2	protein_coding
12	25024608	25025553	-1	ENSMUSG00000113774	Gm36236	lncRNA
12	59142585	59238369	1	ENSMUSG00000021000	Mia2	protein_coding
4	149226954	149227845	-1	ENSMUSG00000080746	Rpsa-ps12	processed_pseudogene
3	36143008	36145595	1	ENSMUSG00000105055	Gm43079	lncRNA
3	36151326	36153293	1	ENSMUSG00000105419	Gm43205	TEC
3	81864397	81883509	-1	ENSMUSG00000028011	Tdo2	protein_coding
4	129941633	129993076	1	ENSMUSG00000040690	Col16a1	protein_coding
19	29784063	29787496	1	ENSMUSG00000118251	Gm50373	lncRNA
19	60803887	60804254	-1	ENSMUSG00000083036	Gm15959	processed_pseudogene
19	29785800	29790374	-1	ENSMUSG00000074909	Ranbp6	protein_coding
1	80427314	80439165	-1	ENSMUSG00000110100	Gm45261	protein_coding
1	153159596	153162936	-1	ENSMUSG00000103818	Gm38009	TEC
1	153181178	153182224	1	ENSMUSG00000079138	Gm8818	processed_pseudogene
19	29851591	29852617	-1	ENSMUSG00000117883	Gm50380	processed_pseudogene
1	153300908	153328320	1	ENSMUSG00000042708	Shcbp1l	protein_coding
7	83308783	83310171	1	ENSMUSG00000085080	2310044K18Rik	lncRNA
19	60825715	60849917	-1	ENSMUSG00000063698	Sfxn4	protein_coding
7	83360174	83360927	-1	ENSMUSG00000109290	Phgdh-ps1	processed_pseudogene
7	83405112	83406489	1	ENSMUSG00000063902	Gm7964	processed_pseudogene
7	43424028	43428687	1	ENSMUSG00000067616	Klk11	protein_coding
14	66282529	66283156	1	ENSMUSG00000068165	Gm10233	processed_pseudogene
13	25171466	25204362	-1	ENSMUSG00000021339	Mrs2	protein_coding
10	37005740	37006086	1	ENSMUSG00000103299	Gm38231	TEC
14	66321823	66361949	-1	ENSMUSG00000022040	Ephx2	protein_coding
10	67102468	67121084	-1	ENSMUSG00000075000	Nrbf2	protein_coding
8	84393307	84399382	1	ENSMUSG00000019464	Ptger1	protein_coding
8	108165763	108166211	-1	ENSMUSG00000059775	Rps26-ps1	transcribed_processed_pseudogene
8	108170916	108171324	-1	ENSMUSG00000110501	Gm45900	processed_pseudogene
8	108277876	108277945	1	ENSMUSG00000065439	Mir140	miRNA
8	108307013	108315096	-1	ENSMUSG00000039067	Psmd7	protein_coding
2	27216716	27221309	1	ENSMUSG00000086669	AA645442	lncRNA
10	37009371	37014916	-1	ENSMUSG00000069662	Marcks	protein_coding
13	25219042	25219311	1	ENSMUSG00000114228	Gm47605	processed_pseudogene
2	27291864	27291963	1	ENSMUSG00002075812	Gm55252	miRNA
2	27332336	27334233	1	ENSMUSG00000109946	Brd3os	protein_coding
13	25239987	25394689	1	ENSMUSG00000035910	Dcdc2a	protein_coding
1	153315825	153315964	1	ENSMUSG00000064435	Gm25588	snoRNA
1	153319227	153320046	1	ENSMUSG00000103543	Gm37669	TEC
1	46095470	46098146	1	ENSMUSG00000099432	Gm18849	unprocessed_pseudogene
10	67133185	67254362	1	ENSMUSG00000112314	Gm49454	lncRNA
17	34476663	34488393	1	ENSMUSG00000073421	H2-Ab1	protein_coding
10	67184582	67184741	-1	ENSMUSG00000111908	Gm47516	processed_pseudogene
10	37015398	37027311	1	ENSMUSG00000046463	5930403N24Rik	lncRNA
1	46105475	46412710	1	ENSMUSG00000041144	Dnah7b	protein_coding
10	67259325	67260582	1	ENSMUSG00000112848	Gm32023	lncRNA
2	119593785	119618018	-1	ENSMUSG00000034032	Rpap1	protein_coding
10	37139390	37139744	-1	ENSMUSG00000110799	4930543K20Rik	lncRNA
19	60852489	60862994	-1	ENSMUSG00000024997	Prdx3	protein_coding
10	67271077	67278500	-1	ENSMUSG00000112726	Gm47531	lncRNA
10	37213482	37255648	1	ENSMUSG00000097742	Gm26535	lncRNA
10	67332189	67333537	-1	ENSMUSG00000112120	Gm32255	lncRNA
10	37328448	37328676	-1	ENSMUSG00000111549	Gm48172	processed_pseudogene
8	108417258	108417476	-1	ENSMUSG00000110508	Gm8940	processed_pseudogene
10	37807676	37807776	1	ENSMUSG00002076892	Gm54846	miRNA
10	37992241	37998057	-1	ENSMUSG00000111488	Gm31378	lncRNA
8	108567589	108567689	1	ENSMUSG00002076032	Gm54841	miRNA
10	38051776	38057899	1	ENSMUSG00000111234	4930591E09Rik	lncRNA
8	108569083	108569183	1	ENSMUSG00002076156	Gm54842	miRNA
8	108596317	108611643	1	ENSMUSG00000110625	5033426E14Rik	lncRNA
10	38055449	38055580	1	ENSMUSG00000077576	Gm24889	snoRNA
10	38089355	38089422	1	ENSMUSG00002076946	Gm54847	snoRNA
8	13155621	13197940	1	ENSMUSG00000031446	Cul4a	protein_coding
10	38092575	38092868	-1	ENSMUSG00000111048	Gm48173	processed_pseudogene
10	38171070	38189842	-1	ENSMUSG00000111208	Gm48197	lncRNA
10	38309975	38310131	-1	ENSMUSG00000110782	Gm48198	processed_pseudogene
18	36916061	36925615	1	ENSMUSG00000019143	Hars2	protein_coding
10	38491371	38491477	-1	ENSMUSG00000119503	Gm22911	snRNA
3	94965841	95014241	-1	ENSMUSG00000028126	Pip5k1a	protein_coding
19	29902514	29938118	1	ENSMUSG00000024810	Il33	protein_coding
7	83423309	83444088	-1	ENSMUSG00000011154	Cfap161	protein_coding
10	38696537	38697775	-1	ENSMUSG00000094311	Rfpl4b	protein_coding
10	38804285	38804678	1	ENSMUSG00000111431	Gm17779	processed_pseudogene
10	67371305	67378018	1	ENSMUSG00000037868	Egr2	protein_coding
13	25314730	25315047	-1	ENSMUSG00000082667	Gm11348	processed_pseudogene
13	25436023	25454485	-1	ENSMUSG00000048978	Nrsn1	protein_coding
13	25612152	25614110	-1	ENSMUSG00000114427	F830002E08Rik	TEC
13	25639705	25640412	1	ENSMUSG00000083919	Tpi-rs8	processed_pseudogene
13	25766254	25767369	-1	ENSMUSG00000080840	Gm11349	processed_pseudogene
10	67380341	67384898	-1	ENSMUSG00000057134	Ado	protein_coding
13	25864257	25865126	-1	ENSMUSG00000082161	Gm11350	processed_pseudogene
13	26105016	26170276	-1	ENSMUSG00000086531	Gm11351	lncRNA
7	26234448	26275040	1	ENSMUSG00000054102	Nlrp9a	protein_coding
10	67404352	67407819	-1	ENSMUSG00000112141	4930563J15Rik	lncRNA
10	67407872	67410093	1	ENSMUSG00000074999	Gm10797	TEC
10	67411713	67422217	1	ENSMUSG00000112558	Gm32364	lncRNA
13	26378684	26379200	1	ENSMUSG00000084358	Gm11352	processed_pseudogene
10	67543668	67545298	1	ENSMUSG00000112396	Gm47574	TEC
13	26467133	26496389	-1	ENSMUSG00000084811	1700092E19Rik	lncRNA
10	67544418	67553869	-1	ENSMUSG00000112619	1700030E10Rik	lncRNA
10	67621565	67622523	1	ENSMUSG00000112537	4930543I11Rik	TEC
10	67621579	67672231	1	ENSMUSG00000116971	Gm49766	lncRNA
10	67628597	67629032	-1	ENSMUSG00000111956	Gm29774	processed_pseudogene
13	26542937	26544009	-1	ENSMUSG00000114660	Gm47881	TEC
10	67721933	67748492	-1	ENSMUSG00000037855	Zfp365	protein_coding
13	26676537	26677163	1	ENSMUSG00000060198	Gm11353	processed_pseudogene
13	26864551	26864676	-1	ENSMUSG00000114225	Gm47883	processed_pseudogene
13	26952156	26954148	-1	ENSMUSG00000045835	Hdgfl1	protein_coding
17	56610321	56630486	1	ENSMUSG00000001228	Uhrf1	protein_coding
13	26953376	26956710	1	ENSMUSG00000114342	4921520N01Rik	lncRNA
13	26971348	26971769	-1	ENSMUSG00000081653	Gm11354	processed_pseudogene
13	74085930	74109014	1	ENSMUSG00000057649	Brd9	protein_coding
19	29963499	29963664	1	ENSMUSG00000087937	Gm26046	snRNA
19	29981190	29983418	1	ENSMUSG00000024815	Trpd52l3	protein_coding
19	60878187	61084406	1	ENSMUSG00000003228	Grk5	protein_coding
8	13186072	13186132	1	ENSMUSG00000098532	Mir7065	miRNA
8	108669276	109688262	1	ENSMUSG00000038872	Zfhx3	protein_coding
11	24028056	24124123	1	ENSMUSG00000000861	Bcl11a	protein_coding
10	88582469	88662666	-1	ENSMUSG00000004356	Utp20	protein_coding
18	36926929	36932719	1	ENSMUSG00000001383	Zmat2	protein_coding
19	60955111	60955690	-1	ENSMUSG00000096578	Gm9529	processed_pseudogene
19	61001855	61001983	-1	ENSMUSG00000088894	Gm22520	snoRNA
19	61042278	61129278	-1	ENSMUSG00000074733	Zfp950	protein_coding
8	109464225	109469432	1	ENSMUSG00000104292	Gm38042	TEC
8	109594194	109595899	1	ENSMUSG00000102989	Gm38318	TEC
8	13209161	13225338	1	ENSMUSG00000031447	Lamp1	protein_coding
18	65564009	65612138	1	ENSMUSG00000032688	Malt1	protein_coding
19	61152803	61152919	-1	ENSMUSG00000070263	Gm22365	snRNA
19	61155687	61156487	1	ENSMUSG00000118252	Gm5521	processed_pseudogene
19	61163124	61164747	-1	ENSMUSG00000094649	Gm7102	protein_coding
19	61172328	61172393	1	ENSMUSG00000069475	Gm6020	protein_coding
19	30007913	30071122	1	ENSMUSG00000024817	Uhrf2	protein_coding
1	46413357	46413475	1	ENSMUSG00000119743	n-R5s211	rRNA
14	66372488	66390397	1	ENSMUSG00000022041	Chrna2	protein_coding
1	153331504	153363406	-1	ENSMUSG00000042699	Dhx9	protein_coding
8	109644896	109648506	-1	ENSMUSG00000093697	Gm20686	lncRNA
8	109663492	109663570	1	ENSMUSG00000093241	Mir3108	miRNA
8	46452340	46482514	1	ENSMUSG00000031637	Lrp2bp	protein_coding
11	115783421	115824303	-1	ENSMUSG00000020752	Recql5	protein_coding
7	83449630	83483807	-1	ENSMUSG00000109248	Gm44993	lncRNA
7	83463915	83487553	1	ENSMUSG00000109450	Gm39043	lncRNA
7	83513798	83514689	-1	ENSMUSG00000109163	3110009M11Rik	processed_pseudogene
7	83515985	83517984	1	ENSMUSG00000109552	Gm44531	TEC
14	66390706	66518501	-1	ENSMUSG00000059456	Ptk2b	protein_coding
