early_ectoderm_NA18511	early_ectoderm_NA18856	early_ectoderm_NA18858	early_ectoderm_NA18912	early_ectoderm_NA19140	early_ectoderm_NA19159	early_ectoderm_NA19160	early_ectoderm_NA19210
APH1B	458	29	155	116	163	397	446	60
CA12	328	14	84	34	14	83	344	28
USP3	3668	241	538	826	617	1432	2635	380
FBXL22	159	5	41	12	20	23	142	11
HERC1	1941	290	838	1033	797	1291	1285	308
DAPK2	224	19	87	149	107	199	104	48
CIAO2A	4907	146	1905	574	459	975	3765	245
SNX1	2318	138	845	512	379	759	1751	192
SNX22	117	2	43	15	14	27	72	4
PPIB	24957	919	8066	3505	2071	3408	22995	1197
CSNK1G1	1090	163	407	540	420	824	802	256
PCLAF	24201	450	6015	1705	1389	4228	14414	970
TRIP4	1208	78	520	296	200	365	1138	112
ZNF609	3444	562	907	2178	1900	3507	2086	1010
OAZ2	9445	172	4682	859	522	1149	8825	327
RBPMS2	2913	80	1134	226	145	268	2204	95
PIF1	3228	101	1256	225	203	591	2535	172
PLEKHO2	329	8	140	31	15	61	264	14
ANKDD1A	343	30	114	83	80	158	237	40
SPG21	5362	165	2287	608	474	950	4887	225
MTFMT	1235	85	628	248	169	368	989	95
SLC51B	2	0	1	6	1	1	2	0
RASL12	112	7	96	11	10	9	126	4
KBTBD13	1	0	1	0	0	0	0	1
UBAP1L	58	18	43	48	30	46	44	12
PDCD7	6919	190	2203	754	567	1142	5205	368
CLPX	2838	126	1007	396	325	636	2439	153
CILP	3	0	1	1	3	1	1	0
PARP16	798	45	199	112	112	229	553	65
IGDCC3	14771	570	2700	1805	1201	2931	13036	726
IGDCC4	1057	56	611	306	233	464	652	98
DPP8	1155	101	472	401	257	476	972	155
HACD3	21319	825	7487	3212	1896	4492	17318	1304
INTS14	2145	74	573	249	153	352	1532	91
SLC24A1	123	10	43	33	30	56	141	14
DENND4A	286	66	87	266	210	332	192	96
RAB11A	11515	368	4587	1368	923	1941	9424	565
MEGF11	34	32	6	71	35	28	50	26
DIS3L	1535	51	467	167	142	281	1166	84
TIPIN	2938	102	690	347	253	562	1998	142
MAP2K1	2118	113	840	515	326	561	2108	199
SNAPC5	3127	120	1225	476	322	504	2814	105
RPL4	92140	2599	35480	7538	5885	13941	80520	3405
ZWILCH	2490	62	949	268	186	418	1776	93
LCTL	627	16	285	165	93	84	648	38
SMAD6	255	31	118	92	59	82	307	49
SMAD3	1492	146	580	590	494	886	1132	225
AAGAB	2292	159	842	666	328	601	2036	172
IQCH	210	84	70	425	284	391	215	113
C15orf61	1778	42	833	223	144	256	1343	76
MAP2K5	1065	158	505	559	470	811	990	222
SKOR1	11	1	6	0	3	6	21	2
PIAS1	6008	642	1940	2741	1669	2551	4614	925
CALML4	34	53	11	108	60	97	25	36
CLN6	967	57	251	190	101	295	491	74
FEM1B	1843	66	686	265	178	445	1516	115
ITGA11	41	2	7	3	10	6	41	1
CORO2B	343	21	85	66	110	158	128	25
ANP32A	27204	803	8857	2904	2154	5679	19670	1494
SPESP1	28	33	0	59	90	149	10	23
NOX5	2	1	0	2	2	5	5	0
GLCE	795	89	280	244	344	924	620	167
PAQR5	65	8	58	27	17	30	102	10
KIF23	4482	141	1332	512	338	816	2808	263
RPLP1	481536	12523	162772	50111	33875	77138	367275	19658
TLE3	2525	79	828	309	250	433	1953	132
UACA	3326	146	1567	588	369	887	3196	295
LARP6	1370	35	808	212	138	239	1056	56
LRRC49	2062	151	535	557	510	909	1167	247
THAP10	644	17	189	74	47	111	304	29
THSD4	188	95	46	157	235	803	144	93
CT62	2	0	0	0	0	1	2	0
NR2E3	15	1	7	3	5	6	11	2
MYO9A	1181	223	538	890	551	1023	921	302
SENP8	599	32	221	128	81	172	442	36
GRAMD2A	4	1	2	4	8	2	12	4
PKM	60846	1735	18961	9183	4739	7892	69135	2946
PARP6	624	57	212	200	156	236	515	70
CELF6	0	3	0	11	11	16	2	10
HEXA	1748	82	782	338	218	437	1659	117
TMEM202	0	0	0	0	0	0	0	0
ARIH1	2799	433	1170	1841	1193	2055	2257	669
GOLGA6B	0	0	0	0	0	0	0	0
HIGD2B	2	0	0	2	2	3	0	1
BBS4	3376	152	917	517	348	667	2633	233
ADPGK	1993	58	710	261	152	298	1486	99
NEO1	2604	452	857	1958	1298	2013	2230	573
HCN4	45	4	30	10	9	12	39	4
REC114	0	1	0	11	14	17	2	20
NPTN	2782	151	1371	571	519	792	2580	249
CD276	4177	117	1576	527	322	627	3317	174
INSYN1	55	2	29	8	8	7	21	2
TBC1D21	0	0	0	0	1	0	0	0
LOXL1	1856	45	1446	173	144	317	1402	104
STOML1	351	7	108	27	17	42	278	14
PML	1003	30	420	126	88	177	734	60
GOLGA6A	0	0	0	0	0	0	0	0
ISLR2	116	1	19	3	4	8	33	3
ISLR	69	0	29	4	2	3	166	1
STRA6	370	20	368	36	23	50	723	13
CCDC33	170	14	144	32	20	40	319	13
CYP11A1	63	4	22	23	17	35	106	11
SEMA7A	236	7	38	14	9	30	124	5
UBL7	2494	68	918	246	176	441	2024	118
ARID3B	1247	110	590	483	309	484	1236	160
CLK3	1503	48	615	184	123	237	1436	92
EDC3	1185	62	406	237	133	319	876	85
CYP1A1	8	0	36	2	1	0	0	0
CYP1A2	0	0	5	0	0	0	1	0
CSK	1764	25	567	146	119	264	1342	80
LMAN1L	0	1	0	0	0	1	0	0
CPLX3	17	1	59	4	2	1	13	0
ULK3	1215	15	378	65	44	128	917	36
SCAMP2	2526	107	1012	338	221	480	2266	132
MPI	1774	60	586	153	129	309	1623	68
FAM219B	2624	82	779	256	242	436	1926	130
COX5A	36194	893	11715	3242	1974	4384	26502	1388
RPP25	1599	14	640	87	38	66	1125	22
SCAMP5	1235	17	232	80	118	285	425	45
PPCDC	1007	111	361	436	253	620	808	131
C15orf39	402	10	111	32	13	55	242	7
GOLGA6C	0	1	0	1	0	0	1	0
GOLGA6D	0	0	0	0	0	0	0	0
COMMD4	9420	212	3102	707	466	1093	6897	346
NEIL1	377	7	178	48	38	84	363	23
MAN2C1	1249	31	497	113	76	207	903	47
SIN3A	3031	137	1066	556	349	803	2105	206
PTPN9	1464	122	514	490	331	667	1038	160
SNUPN	2716	66	867	323	190	352	2410	104
IMP3	8609	163	2804	654	483	1097	6460	304
SNX33	271	4	121	31	20	74	228	15
CSPG4	46	2	16	10	4	10	45	8
ODF3L1	1	1	2	3	0	0	11	2
UBE2Q2	1923	155	441	451	279	719	1613	194
FBXO22	6551	267	2292	902	481	1177	4569	451
NRG4	103	15	24	63	43	53	90	18
TMEM266	135	14	28	56	68	65	98	24
ETFA	7095	304	2186	1084	715	1553	4892	448
ISL2	10	0	3	2	1	1	12	1
SCAPER	1659	290	540	935	992	1502	1416	415
RCN2	33089	1061	17013	3929	2695	5562	26147	1385
PSTPIP1	132	5	87	13	10	18	134	6
TSPAN3	15792	470	4628	1699	1404	2583	12914	644
PEAK1	854	188	303	765	768	912	527	287
HMG20A	1789	128	671	437	382	661	1399	183
LINGO1	984	11	602	72	46	73	696	13
TBC1D2B	422	28	137	90	68	112	312	34
SH2D7	8	2	2	6	5	5	5	1
CIB2	4527	126	1764	679	468	825	2951	229
IDH3A	881	48	431	142	91	214	794	59
ACSBG1	19	4	16	4	2	10	21	4
DNAJA4	64	7	43	25	12	33	253	9
WDR61	5594	151	1584	611	429	887	4619	248
CRABP1	20322	233	31083	1679	3027	1381	42866	264
IREB2	3449	162	1427	655	468	937	2869	264
HYKK	93	6	66	10	15	25	92	5
PSMA4	29634	690	10106	2693	1677	3774	21221	1194
CHRNA5	1628	51	292	136	124	348	952	107
CHRNA3	40	4	41	7	8	15	44	2
CHRNB4	15	3	9	2	3	5	11	0
ADAMTS7	1040	54	383	166	133	278	714	77
MORF4L1	39187	1300	12812	5213	3659	7467	30976	2115
CTSH	1221	15	525	148	110	93	870	49
RASGRF1	2	0	5	3	0	6	7	0
ANKRD34C	0	0	0	0	0	0	0	0
TMED3	2552	147	1592	481	310	554	4254	202
MINAR1	36	1	11	23	9	26	21	6
MTHFS	688	100	412	444	281	491	714	91
AC015871.1	1583	90	407	324	235	395	1063	113
BCL2A1	1	0	0	2	0	0	1	0
ZFAND6	6497	404	2846	1635	1214	2104	5542	550
FAH	645	17	296	116	60	102	559	37
CTXND1	5	5	1	7	50	11	24	4
ARNT2	867	129	243	455	596	613	594	218
ABHD17C	1275	51	345	149	108	275	809	95
CEMIP	7	24	3	97	46	74	6	23
MESD	11184	293	2911	1127	849	1869	9599	505
TLNRD1	1819	49	695	160	79	158	1595	52
CFAP161	26	5	0	47	25	45	16	26
IL16	4	0	0	5	7	3	16	2
STARD5	78	8	29	22	11	14	225	6
TMC3	0	0	1	3	5	3	1	5
MEX3B	1670	41	345	138	100	317	1148	89
EFL1	1635	125	477	551	444	767	1173	224
SAXO2	183	32	50	143	117	130	175	39
GOLGA6L10	240	4	73	19	15	44	183	12
GOLGA6L9	25	12	15	30	23	78	51	16
RPS17	10091	3108	3283	12209	7506	17712	8718	5005
CPEB1	1	4	3	19	19	19	2	2
AP3B2	214	5	55	29	49	104	96	19
FSD2	60	15	23	11	20	34	43	7
WHAMM	606	35	297	152	116	162	551	47
HOMER2	1143	56	1069	353	183	305	588	50
RAMAC	1157	48	518	179	148	242	1055	57
C15orf40	3449	128	883	457	296	476	2136	158
BTBD1	1262	117	556	374	331	560	1051	159
TM6SF1	7	4	6	21	21	30	1	21
HDGFL3	9746	395	3357	1675	1331	2715	6672	741
BNC1	2	0	0	2	3	5	3	1
SH3GL3	378	21	46	69	67	194	177	73
ADAMTSL3	18	14	8	93	36	34	15	19
UBE2Q2L	29	8	5	12	15	15	25	3
GOLGA6L4	26	3	14	2	7	12	33	6
ZSCAN2	564	22	257	111	105	180	577	57
WDR73	4374	125	1133	437	364	845	2972	188
NMB	2199	61	506	160	150	311	2155	90
SEC11A	32898	1086	12084	4017	2490	5526	28709	1527
ZNF592	661	51	197	231	170	271	463	92
ALPK3	364	28	186	82	79	138	455	52
SLC28A1	0	1	2	4	4	1	1	2
PDE8A	205	136	87	342	246	524	109	162
AKAP13	4361	623	1659	2247	1454	2491	3724	755
KLHL25	479	59	129	183	174	274	322	91
AGBL1	38	109	2	1621	1277	448	56	244
NTRK3	342	31	113	105	302	249	131	30
MRPL46	290	84	72	362	211	506	253	150
MRPS11	5229	108	1737	533	378	667	3700	183
DET1	161	66	44	195	191	297	112	94
AEN	1977	43	956	178	42	195	1216	69
ISG20	53	2	42	22	4	23	43	5
ACAN	1	1	11	1	0	4	8	1
HAPLN3	386	11	210	24	9	28	273	7
MFGE8	5029	136	2990	316	205	490	4334	168
ABHD2	799	70	292	213	160	220	606	76
RLBP1	93	4	103	6	8	15	20	8
FANCI	5026	191	1331	798	511	1171	2964	283
POLG	1225	34	377	131	81	197	780	50
RHCG	22	1	2	4	13	21	20	5
TICRR	964	39	268	171	116	261	607	86
KIF7	450	59	171	234	170	311	390	84
PLIN1	8	1	2	1	3	1	8	2
PEX11A	863	31	252	123	108	169	803	40
WDR93	206	8	28	36	58	63	143	12
MESP1	924	18	107	44	53	43	730	19
MESP2	172	5	25	20	14	13	245	4
ANPEP	4	0	11	4	2	1	18	1
AP3S2	745	145	248	519	392	721	529	189
ARPIN	1133	48	294	145	158	321	651	71
ZNF710	903	80	267	388	289	616	565	146
IDH2	16551	391	3030	1422	1038	2843	10401	732
SEMA4B	726	33	218	138	115	194	461	50
CIB1	3874	136	1224	497	294	544	4013	148
GDPGP1	200	13	61	22	19	34	142	8
TTLL13P	6	8	1	5	4	19	6	3
NGRN	1611	548	292	2069	1649	3304	768	792
ZNF774	138	9	51	22	24	40	92	12
IQGAP1	2994	129	1080	505	385	715	2996	208
CRTC3	1155	74	214	361	368	461	673	129
BLM	3102	169	837	609	449	971	2006	269
FURIN	477	14	311	72	46	58	558	22
FES	109	1	107	21	9	22	222	5
MAN2A2	525	18	205	84	70	116	430	33
HDDC3	1963	56	768	159	158	276	1705	77
UNC45A	2360	64	924	199	178	315	2004	79
RCCD1	1454	44	423	140	110	193	1088	52
PRC1	2328	251	589	797	533	1454	1544	439
VPS33B	571	18	200	95	72	133	459	34
SV2B	3	3	3	23	6	3	8	0
SLCO3A1	747	60	273	374	506	493	725	133
ST8SIA2	811	74	205	284	266	548	562	122
FAM174B	222	38	130	197	122	278	262	64
CHD2	3634	480	1254	1624	1260	2555	2913	660
RGMA	3895	69	679	409	426	936	1203	159
MCTP2	12	2	9	8	2	5	21	0
NR2F2	9031	654	2976	2988	1736	914	13822	432
ARRDC4	127	7	79	38	5	89	300	9
FAM169B	2	0	2	6	4	3	3	0
IGF1R	3977	628	1485	1911	1260	2917	3407	876
PGPEP1L	1	0	0	1	0	0	1	0
SYNM	263	8	70	36	11	25	148	9
TTC23	778	73	265	230	194	325	568	102
LRRC28	1217	111	496	465	357	566	1299	165
MEF2A	1491	368	538	1407	1036	1850	1176	508
LYSMD4	374	26	173	95	68	163	300	31
ADAMTS17	20	8	3	89	64	33	22	8
CERS3	13	1	12	37	48	18	69	6
LINS1	957	31	314	132	99	223	665	50
ASB7	445	20	216	159	96	199	387	63
ALDH1A3	163	1	468	33	4	17	28	2
LRRK1	21	3	25	11	7	8	34	3
CHSY1	1605	99	502	479	228	532	1463	171
SELENOS	6206	151	2227	667	500	927	5741	247
SNRPA1	13693	424	4254	1585	901	2264	9935	700
PCSK6	92	18	45	91	44	161	148	23
TM2D3	3543	99	1040	364	318	691	2619	168
TARSL2	1296	80	730	353	226	390	1437	106
OR4F6	0	0	0	0	0	0	0	0
OR4F15	0	0	0	0	0	0	0	0
OR4F4	0	0	0	0	0	0	0	0
POLR3K	7394	148	2495	318	345	781	5339	239
SNRNP25	11894	241	4784	523	958	1473	7888	526
RHBDF1	441	12	257	56	33	57	731	18
MPG	4881	189	1812	554	465	836	4947	217
NPRL3	2379	83	667	281	287	382	1874	137
HBZ	23	1	4	2	4	6	38	1
HBM	1	0	0	0	1	0	2	0
HBA2	8	0	5	0	0	1	5	0
HBA1	7	0	1	0	0	0	13	1
HBQ1	611	11	47	38	67	82	298	25
LUC7L	8109	268	2539	1008	665	1479	5549	391
FAM234A	2692	98	1221	407	289	527	2373	111
RGS11	241	8	24	15	29	20	285	7
ARHGDIG	292	17	64	56	40	51	511	14
PDIA2	16	3	1	1	0	2	33	2
AXIN1	950	43	334	171	105	240	809	60
MRPL28	9660	279	4033	864	539	1050	8637	348
TMEM8A	1159	39	668	154	93	176	1232	65
NME4	47207	1014	10626	3375	2222	4385	35431	1290
DECR2	13	13	5	43	42	93	14	29
RAB11FIP3	187	124	70	401	395	672	117	180
CAPN15	996	18	334	100	46	132	737	37
PRR35	13	0	8	0	0	1	7	0
PIGQ	1415	29	535	129	72	189	1139	49
NHLRC4	18	0	18	2	3	3	43	0
RAB40C	1236	48	352	177	110	242	1183	79
WFIKKN1	2805	133	1379	545	289	420	3274	197
METTL26	11260	341	2840	1014	696	1814	9280	481
MCRIP2	2174	69	768	208	105	254	2217	103
WDR90	897	14	243	25	51	104	599	28
RHOT2	3300	38	1143	180	119	298	2790	123
RHBDL1	128	7	80	21	14	13	201	2
STUB1	9183	304	3573	1008	680	1330	8064	369
JMJD8	3973	74	1024	128	168	376	3183	110
WDR24	521	17	225	35	35	74	547	17
FBXL16	39	1	60	13	13	16	95	4
METRN	37759	1059	9763	4941	2932	4519	20727	1190
ANTKMT	5212	107	1891	418	284	652	3703	174
CCDC78	100	1	55	3	5	4	142	2
HAGHL	928	31	505	68	45	99	1179	38
CIAO3	1302	42	425	124	80	197	1039	57
MSLN	19	0	5	1	2	2	53	0
MSLNL	0	0	0	0	0	0	0	0
RPUSD1	1379	20	559	108	70	154	1107	51
CHTF18	1691	27	460	104	89	162	1177	37
GNG13	13	0	7	1	2	0	14	0
LMF1	549	82	212	226	168	198	531	77
SOX8	248	3	99	14	4	10	111	11
SSTR5	0	0	0	0	0	0	0	0
C1QTNF8	1	0	0	1	0	0	0	1
CACNA1H	456	20	227	60	47	92	322	28
TPSG1	1	1	0	0	1	0	0	0
TPSB2	1	1	1	0	0	0	2	0
TPSAB1	0	0	0	0	0	0	0	0
TPSD1	1	0	4	0	0	0	0	0
UBE2I	32335	751	10464	2871	1682	3955	24761	1219
BAIAP3	159	6	60	20	29	21	287	6
TSR3	6121	150	2064	602	442	805	4999	232
GNPTG	1011	40	360	223	151	323	973	68
UNKL	1193	35	463	116	70	119	829	63
C16orf91	2862	71	752	308	183	406	2183	114
AL032819.3	0	0	0	0	0	1	0	0
CCDC154	29	6	19	13	9	9	25	1
CLCN7	985	33	446	101	81	141	870	36
PTX4	0	0	0	0	0	0	0	0
TELO2	1838	38	611	118	92	186	1363	48
IFT140	1002	93	301	292	234	418	831	125
TMEM204	1	2	0	6	5	6	2	3
CRAMP1	548	53	209	221	174	275	431	78
JPT2	7360	193	1808	763	406	1314	4517	334
MAPK8IP3	659	47	220	256	173	325	506	85
NME3	5513	268	2320	556	599	894	7174	217
MRPS34	16416	424	6057	1752	1020	2238	12857	773
EME2	364	15	155	29	17	53	296	9
SPSB3	2479	88	955	253	223	487	2255	138
NUBP2	5380	125	1921	461	317	764	4275	235
IGFALS	8	0	2	0	0	2	6	0
HAGH	3926	173	2047	566	425	700	3516	203
FAHD1	3414	66	997	280	235	507	2067	144
MEIOB	177	17	60	49	9	56	224	17
HS3ST6	0	2	0	0	0	2	0	0
MSRB1	2222	53	968	205	137	291	1812	85
RPL3L	4	2	5	0	0	1	12	1
NDUFB10	22277	600	8719	2176	1664	3173	18454	932
RPS2	474736	15329	177808	52067	34260	81537	364011	23070
RNF151	3	0	0	1	0	0	2	0
TBL3	1648	31	605	131	62	188	1419	76
NOXO1	25	0	30	3	3	4	57	1
GFER	2561	63	1083	201	134	306	2310	82
SYNGR3	490	14	357	14	22	78	269	8
ZNF598	1386	28	408	99	47	115	1057	15
NPW	352	10	705	62	40	58	542	30
SLC9A3R2	852	18	378	56	35	114	1243	42
NTHL1	7181	153	2152	546	330	765	5146	208
TSC2	2356	46	689	196	162	327	1643	62
PKD1	719	31	252	106	80	149	562	48
RAB26	89	11	64	41	24	61	103	30
TRAF7	3584	93	1083	230	194	407	3153	101
CASKIN1	251	9	95	55	55	99	185	26
MLST8	3964	86	1466	332	208	500	3249	152
BRICD5	226	6	63	22	13	26	151	4
PGP	14378	395	4532	1451	884	1702	10518	539
E4F1	853	42	303	147	133	195	645	50
DNASE1L2	23	1	9	5	4	3	31	1
ECI1	12440	419	3476	1094	877	1999	9739	593
RNPS1	18417	394	5944	1487	942	2178	13713	651
ABCA3	477	36	171	138	106	156	331	60
CCNF	1871	61	685	183	136	324	1220	98
TEDC2	2563	40	829	229	86	259	1572	85
NTN3	5	0	0	2	0	0	2	0
TBC1D24	1135	28	279	98	79	158	550	39
ATP6V0C	45	373	24	1442	934	1810	33	482
AMDHD2	942	21	516	73	60	114	774	21
CEMP1	1	1	1	1	0	0	1	0
PDPK1	1414	44	657	177	116	237	1176	76
KCTD5	1230	43	479	110	81	196	950	50
PRSS27	184	2	32	18	10	30	123	3
SRRM2	36272	1064	10794	3831	2613	5401	25613	1458
ELOB	50292	1276	16884	5247	3383	6942	37686	1915
PRSS33	919	10	446	36	32	64	354	27
PRSS41	0	0	1	0	1	2	0	0
PRSS21	5	0	13	0	1	1	8	0
ZG16B	0	0	0	0	0	0	0	0
PRSS22	4	0	7	1	0	1	5	0
FLYWCH2	3351	113	1270	544	333	612	3172	164
FLYWCH1	758	27	238	107	84	149	715	58
KREMEN2	101	1	164	21	7	14	111	4
PKMYT1	1813	28	442	126	79	199	1216	70
PAQR4	2269	21	363	89	79	206	1257	43
LINC00514	1	2	3	2	0	2	8	1
CLDN9	3	0	14	0	1	2	7	1
CLDN6	2806	25	3052	104	61	160	4283	20
TNFRSF12A	1775	55	1342	232	86	139	2322	46
HCFC1R1	3122	102	1766	465	261	453	3385	128
THOC6	6442	101	1906	396	258	609	5051	162
BICDL2	26	0	41	2	3	1	64	0
MMP25	38	2	33	6	3	7	47	4
IL32	30	0	63	3	5	3	42	0
ZSCAN10	602	4	524	10	12	41	648	7
ZNF205	1963	54	591	162	143	257	1582	66
ZNF213	445	30	128	74	70	109	381	37
OR1F1	0	0	0	0	0	0	0	0
ZNF200	642	17	183	51	65	93	425	22
MEFV	1	0	0	0	0	0	0	0
ZNF263	927	23	361	119	68	127	852	35
TIGD7	190	18	115	65	43	103	234	18
ZNF75A	1507	91	784	405	190	537	1809	137
OR2C1	1	0	0	0	0	0	1	0
AC025283.2	0	12	2	45	31	49	2	22
MTRNR2L4	7	0	1	0	0	1	11	1
ZSCAN32	634	25	232	102	79	127	535	41
ZNF174	510	15	252	71	58	120	522	34
ZNF597	75	3	26	29	15	29	64	14
NAA60	1953	37	777	178	111	212	1583	76
C16orf90	0	0	0	0	0	0	0	0
CLUAP1	3965	158	939	648	468	927	2881	193
NLRC3	14	3	1	14	8	14	6	3
SLX4	654	29	164	102	61	149	486	30
DNASE1	1133	65	387	241	162	308	865	64
TRAP1	6321	164	2236	536	352	764	4974	325
CREBBP	4004	310	1295	1080	904	1577	2911	500
ADCY9	101	36	47	140	90	127	101	37
SRL	2	1	0	1	5	3	6	2
TFAP4	1651	40	416	118	89	331	1144	77
GLIS2	8	18	4	70	63	105	7	35
PAM16	306	206	90	758	447	1010	355	311
CORO7	2	14	0	89	36	62	2	36
VASN	0	12	0	95	70	44	1	16
DNAJA3	224	53	64	173	90	228	152	77
NMRAL1	1074	59	346	391	281	417	1194	111
HMOX2	981	62	360	245	178	280	826	71
CDIP1	28	80	7	225	136	299	14	91
C16orf96	6	5	6	22	17	25	22	7
UBALD1	723	19	338	88	77	149	680	36
MGRN1	1635	91	511	301	200	337	996	90
NUDT16L1	4814	151	1798	457	337	747	3704	236
ANKS3	1381	68	451	246	239	337	1078	89
C16orf71	34	3	6	20	17	24	28	9
ZNF500	594	28	186	81	60	114	444	18
SEPTIN12	1	0	0	3	0	2	0	2
SMIM22	10	0	4	2	2	2	19	1
ROGDI	1585	48	1092	219	168	218	1922	69
GLYR1	3647	184	1284	672	474	903	2851	235
UBN1	4635	148	1539	627	429	761	3525	209
PPL	163	15	105	35	32	57	270	21
SEC14L5	12	0	5	2	7	4	14	1
NAGPA	602	9	194	35	37	67	394	23
ALG1	683	20	286	71	46	105	575	25
C16orf89	83	0	9	1	1	3	110	0
EEF2KMT	1548	31	427	156	70	227	973	68
RBFOX1	267	2890	170	18657	7738	3280	1469	1473
TMEM114	4	0	8	6	6	4	5	3
METTL22	1061	46	366	186	140	242	875	80
ABAT	1761	130	402	406	493	786	1507	174
TMEM186	1388	43	410	133	90	183	1109	49
PMM2	1235	56	544	278	187	267	1124	93
CARHSP1	17648	506	5707	1562	1167	2484	14207	631
LITAFD	0	0	0	0	0	1	0	0
USP7	5627	218	2099	751	466	1043	4227	327
C16orf72	2774	48	1047	234	157	313	2141	108
GRIN2A	241	11	36	42	78	303	81	26
ATF7IP2	1203	110	345	330	271	404	973	194
EMP2	4688	115	1242	548	309	672	3547	159
TEKT5	4	0	1	14	2	7	5	5
NUBP1	2926	85	1025	322	221	515	2326	125
TVP23A	440	30	194	164	115	204	388	69
CIITA	4	2	3	4	3	7	2	1
DEXI	3015	63	905	234	181	311	2200	113
CLEC16A	374	84	125	299	228	367	222	135
RMI2	4580	97	1266	424	289	691	3154	161
SOCS1	624	22	357	47	35	57	755	30
TNP2	0	0	0	0	0	0	1	0
PRM3	0	1	0	0	0	1	2	0
PRM2	0	0	1	0	0	0	1	0
PRM1	8	0	7	2	0	0	6	0
AC099489.1	22	18	16	33	27	28	10	29
LITAF	3440	133	2319	388	49	156	4419	190
SNN	3001	56	1087	202	169	431	1880	98
TXNDC11	436	34	146	137	92	126	425	47
ZC3H7A	2868	125	904	559	387	766	2042	193
RSL1D1	15332	386	5303	1485	855	2454	12846	682
GSPT1	11270	283	3749	1198	734	1790	8017	521
NPIPB2	117	44	115	17	59	105	320	47
TNFRSF17	0	0	0	0	1	4	1	3
SNX29	747	119	249	409	337	472	561	144
CPPED1	891	65	384	236	157	295	795	70
SHISA9	222	121	95	875	815	391	448	123
ERCC4	1885	78	722	359	235	430	1452	132
MRTFB	1593	273	534	1070	904	1315	1162	361
PARN	662	125	276	410	281	536	504	136
BFAR	321	146	102	491	338	799	286	232
PLA2G10	3	2	6	3	6	17	5	1
NPIPA3	7	0	1	0	0	0	2	0
NPIPA2	0	1	0	1	0	2	0	2
NOMO1	726	26	169	78	35	66	632	45
NPIPA1	11	6	17	26	18	52	19	11
PDXDC1	260	183	139	547	487	629	384	213
NTAN1	913	129	303	419	259	455	885	156
RRN3	234	71	95	241	190	398	182	92
NPIPA5	0	2	0	4	3	2	0	4
MPV17L	0	20	5	75	61	95	26	42
BMERB1	382	220	152	781	720	1295	240	342
MARF1	133	61	41	212	172	322	88	92
NDE1	211	78	57	238	177	391	157	121
MYH11	0	15	4	39	37	93	3	18
FOPNL	369	115	157	366	208	643	377	157
ABCC1	112	81	68	299	126	330	101	148
ABCC6	1	8	2	57	41	32	1	17
NOMO3	5	6	6	23	13	17	1	7
AC138969.1	7	2	3	8	9	10	5	6
NPIPA7	0	0	0	2	1	4	0	0
XYLT1	971	209	228	1000	1221	2164	385	485
NPIPA8	1	0	0	2	2	3	0	0
NPIPA9	0	0	0	2	1	1	0	1
NOMO2	78	10	26	36	20	38	54	15
RPS15A	213561	8081	81635	26785	21507	46259	168773	11798
ARL6IP1	14776	1186	6135	4622	3036	8066	11862	1969
SMG1	2376	174	1018	731	496	1061	1665	309
TMC7	338	43	151	157	90	182	284	42
COQ7	2386	69	754	204	180	376	1829	83
ITPRIPL2	517	9	197	118	57	101	364	19
SYT17	1068	100	385	457	363	599	862	135
CLEC19A	265	28	498	204	78	89	52	27
TMC5	211	38	45	88	113	100	465	29
GDE1	5489	141	1786	538	398	821	4111	221
CCP110	2695	100	737	347	237	509	1549	125
VPS35L	1776	130	660	454	339	583	1405	173
KNOP1	16805	333	3665	1392	735	1957	10626	501
IQCK	3606	217	613	772	638	981	2556	259
GPRC5B	2780	108	873	261	244	375	1599	104
GPR139	0	0	0	0	1	0	0	1
GP2	0	0	0	0	0	0	0	0
UMOD	0	0	0	0	0	1	0	0
PDILT	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	1	6	0
ACSM2A	0	1	0	1	0	0	4	0
ACSM2B	1	0	1	0	1	0	1	0
ACSM3	30	11	44	18	34	37	55	16
ACSM1	123	4	3	6	15	3	177	1
THUMPD1	5618	188	2285	766	592	1353	4517	340
ERI2	828	53	258	167	134	257	625	61
REXO5	369	28	76	62	48	72	255	21
DCUN1D3	270	7	186	41	21	80	239	14
LYRM1	3617	101	804	382	264	479	2441	162
DNAH3	13	6	7	10	8	16	8	5
TMEM159	1626	52	739	123	182	312	877	74
ZP2	0	0	0	0	0	0	0	0
ANKS4B	1	0	0	0	1	1	1	0
CRYM	164	6	277	12	9	31	208	7
NPIPB3	4	1	3	2	5	15	1	4
METTL9	17215	456	5018	1839	1512	3105	11877	779
IGSF6	104	7	14	15	22	26	60	11
OTOA	10	2	18	11	10	8	2	3
NPIPB4	35	16	8	53	43	67	16	13
UQCRC2	10777	324	3601	1132	829	1520	8973	469
PDZD9	3	0	2	8	16	6	2	10
MOSMO	1842	138	861	490	369	668	1545	203
VWA3A	9	14	6	31	50	33	21	10
SDR42E2	4	0	5	1	1	3	7	1
EEF2K	518	28	251	93	64	159	414	43
POLR3E	1853	42	676	225	120	257	1455	62
CDR2	917	75	404	270	196	417	819	113
NPIPB5	119	13	46	56	31	81	77	31
HS3ST2	7	4	0	13	2	2	74	3
USP31	1034	49	341	178	133	249	609	67
SCNN1G	0	0	2	2	0	0	1	0
SCNN1B	5	2	0	3	2	5	3	1
