pluri_rep1	pluri_rep2	pluri_rep3	pluri_rep4	pluri_rep5	pluri_rep6
Dzip3	227	143	71	72	98	86
C330027C09Rik	356	229	133	114	134	137
Ift57	218	154	56	81	76	81
Cd47	230	176	72	78	105	90
Bbx	678	402	206	190	238	269
G730013B05Rik	4	2	1	1	0	3
Dubr	6	3	0	1	3	5
Cblb	118	104	31	43	38	34
Alcam	14	9	6	9	8	7
Nfkbiz	56	31	26	19	14	16
Nxpe3	35	27	16	9	14	9
Cep97	106	68	38	34	44	31
Rpl24	30214	20307	10600	11680	12486	12490
Zbtb11os1	40	24	16	9	13	19
Zbtb11	340	275	135	122	134	170
Pcnp	1099	692	399	411	481	422
Trmt10c	519	296	147	135	144	181
Senp7	80	74	20	31	25	33
Impg2	0	0	0	0	1	0
Abi3bp	3	6	0	0	3	6
Tfg	784	499	231	228	302	266
Tmem45a	46	32	12	14	21	19
Tomm70a	1805	1210	633	660	626	641
Nit2	828	525	239	252	326	289
Tbc1d23	223	124	67	81	68	79
Tmem30c	3	4	1	0	4	3
Cmss1	482	309	144	147	169	190
CT025521.2	3	1	1	1	0	0
Filip1l	15	10	4	5	10	4
Col8a1	6	0	2	4	1	4
Dcbld2	154	112	61	43	53	48
St3gal6	18	22	7	10	8	14
Cpox	250	175	98	105	97	107
Cldnd1	406	218	139	137	135	144
Riox2	341	247	123	103	129	121
Crybg3	61	34	14	19	18	30
Arl6	175	90	56	55	54	61
Nsun3	30	24	13	8	19	13
Arl13b	236	185	98	85	98	89
Stx19	0	1	1	0	0	1
Pros1	24	18	12	7	14	8
Epha3	3	2	0	1	0	1
X4930453N24Rik	772	527	218	224	274	297
Zfp654	290	160	100	83	108	97
Cggbp1	1561	990	507	552	640	659
Chmp2b	306	209	85	98	107	105
Vgll3	26	10	7	5	8	4
Cadm2	1	3	1	2	4	0
Gbe1	47	31	12	12	17	16
Robo1	42	39	23	14	18	20
Robo2	5	6	2	2	4	3
Rbm11	7	4	1	3	1	2
Hspa13	242	112	70	63	77	80
Samsn1	0	0	0	0	0	0
Nrip1	270	189	110	101	75	107
Usp25	179	109	60	53	52	83
Cxadr	120	77	44	33	40	34
Btg3	150	53	25	25	22	17
D16Ertd472e	193	109	64	78	51	67
Chodl	1	0	0	0	2	0
Ncam2	1	1	2	0	0	0
Mir155hg	0	3	0	1	0	1
Mrpl39	511	329	180	150	204	197
Jam2	739	471	296	284	278	296
Atp5j	5057	3655	1947	2064	2333	2237
Gabpa	541	318	196	167	184	173
App	140	79	43	48	36	35
Cyyr1	22	6	12	13	8	9
Adamts1	29	21	19	6	20	10
Adamts5	1	1	0	2	1	0
N6amt1	290	191	101	88	100	106
Ltn1	323	191	111	114	99	108
Rwdd2b	58	38	19	20	23	31
Usp16	502	352	148	185	198	190
Cct8	5993	3886	1806	1919	2137	2155
Bach1	529	286	183	195	145	144
X2810407A14Rik	1	0	2	0	0	0
Grik1	1	0	0	0	0	1
Cldn8	0	1	0	1	0	0
Tiam1	79	80	47	47	31	35
Sod1	2852	1815	1044	1073	1111	1164
Scaf4	418	253	145	132	154	153
Hunk	42	26	14	11	14	15
Mis18a	189	118	61	74	63	60
Gm17518	4	6	1	1	8	4
Mrap	1	0	0	0	0	3
Urb1	196	135	60	75	62	71
Eva1c	9	7	1	1	3	0
X1110004E09Rik	633	393	226	244	249	259
Synj1	73	78	30	29	35	43
Paxbp1	380	275	170	137	157	183
X4932438H23Rik	1	2	1	1	0	3
AC034116.3	3	1	2	0	2	5
Olig2	16	25	5	8	5	5
Olig1	164	99	38	43	43	44
Ifnar2	33	26	12	13	14	12
Il10rb	9	5	1	4	2	1
AC150035.3	3	2	1	0	1	2
Ifnar1	127	90	40	57	46	62
Ifngr2	66	51	19	24	17	19
Tmem50b	122	89	35	49	55	55
Dnajc28	16	5	5	4	8	4
Gart	1607	1020	552	512	533	493
Son	2287	1659	944	974	1061	1059
Donson	150	98	37	40	56	42
Gm10785	3	4	2	2	0	2
Cryzl1	303	177	76	104	113	129
Itsn1	245	172	83	78	87	94
Atp5o.1	3577	2618	1463	1639	1983	2050
D430001F17Rik	2	0	0	0	0	0
Mrps6	368	216	117	136	159	151
Slc5a3	78	34	25	26	25	32
Smim11	259	167	82	92	111	110
Kcne1	1	0	0	0	0	1
Rcan1	145	110	52	49	65	68
Clic6	11	5	4	9	8	3
Runx1	24	13	8	5	11	12
Setd4	53	30	28	20	31	19
Cbr1	383	238	138	118	144	159
Cbr3	244	132	78	87	81	84
Dopey2	98	50	34	46	27	33
X2310043M15Rik	12	6	6	1	3	9
Morc3	1570	978	537	532	590	616
Chaf1b	908	538	248	279	309	335
Sim2	2	1	0	0	0	1
Hlcs	39	33	19	17	25	19
Ripply3	2	2	2	0	2	1
Pigp	602	403	167	184	231	239
Ttc3	950	654	321	301	330	338
Dscr3	173	119	45	56	65	83
Dyrk1a	278	165	100	95	109	108
AC165271.1	7	6	3	2	6	1
Kcnj15	0	0	0	0	1	1
Erg	6	1	0	1	0	3
Ets2	88	57	17	17	32	51
Psmg1	1347	805	383	405	476	430
Brwd1	775	542	317	331	323	293
Hmgn1	8823	5573	2673	2704	3293	3152
Wrb	145	116	57	38	65	85
Lca5l	4	1	0	0	0	1
Sh3bgr	21	16	6	11	11	9
Igsf5	1	0	1	0	0	0
Pcp4	1	12	4	1	5	3
Dscam	3	6	0	1	1	1
Bace2	3	2	0	0	2	4
Mx1	1	0	1	0	0	1
Fam3b	11	4	4	4	3	3
Tmprss2	5	3	4	2	8	4
Ripk4	31	22	16	14	17	17
Prdm15	39	27	9	16	7	12
C2cd2	33	13	7	6	8	11
Zbtb21	168	105	64	57	53	63
C030010L15Rik	0	2	0	0	2	1
B230307C23Rik	66	40	17	19	31	27
A630089N07Rik	77	45	37	35	36	34
Scaf8	354	267	130	132	138	118
AC165953.2	42	28	20	18	19	19
Tiam2	52	33	20	19	16	27
Tfb1m	153	95	63	76	78	61
X1700102H20Rik	10	10	3	4	3	5
Arid1b	118	96	50	39	38	35
Tmem242	94	71	45	42	40	38
Ldhal6b	18	18	3	9	9	8
Zdhhc14	11	11	2	7	5	4
Snx9	188	156	52	55	54	63
Synj2	28	12	7	6	12	7
Serac1	16	7	8	10	8	10
Gtf2h5	1462	1083	516	544	593	625
Tulp4	278	133	84	66	69	65
Tmem181a	161	122	52	63	51	59
Dynlt1a	217	99	39	37	35	31
Dynlt1b	2	0	0	0	2	2
Dynlt1c	15	9	4	2	3	3
Dynlt1f	612	320	101	119	106	105
Sytl3	11	4	5	6	2	0
Ezr	1817	1121	515	527	628	582
Gm2885	0	0	0	0	0	0
Rsph3b	4	3	1	0	1	1
AC122413.1	12	6	1	2	0	1
Tagap1	31	19	10	10	19	9
Rnaset2b	14	17	5	5	18	7
Rps6ka2	79	75	35	45	37	32
Fndc1	19	14	9	6	11	12
E430024P14Rik	13	2	3	6	1	3
Rsph3a	13	1	1	0	0	3
Rnaset2a	5	1	2	5	6	4
Fgfr1op	442	250	147	167	162	171
Mpc1	323	200	110	102	123	110
Sft2d1	59	20	15	15	19	11
Prr18	4	2	0	4	0	5
T2	1	0	2	2	0	0
Gm16702	38	34	13	17	32	22
T	6	4	1	1	5	5
Pde10a	12	5	0	0	4	5
Gm17087	3	1	1	0	1	0
X1700010I14Rik	9	7	1	0	3	3
Qk	1062	669	366	371	404	383
Pacrg	9	2	4	2	2	1
Park2	3	4	1	2	1	2
Agpat4	183	134	81	73	85	94
Map3k4	400	322	153	202	176	197
X4732491K20Rik	16	7	6	3	3	3
Plg	0	0	0	0	1	2
Slc22a3	1	0	1	0	0	0
Igf2r	417	261	135	142	139	156
Airn	7	2	6	1	8	4
Mas1	0	0	1	0	1	1
Pnldc1	39	23	9	15	14	8
Mrpl18	2889	1709	867	898	1013	955
Tcp1	5601	3693	1677	1769	2059	1991
Acat3	2	0	1	1	2	1
Acat2	585	358	150	144	181	175
Wtap	812	470	273	280	298	278
Sod2	2455	1573	711	788	923	943
Tcte2	21	12	13	6	4	3
Gm16052	4	5	0	0	0	0
Gm16049	4	2	2	1	0	3
Afdn	1279	804	402	439	435	435
Dact2	47	29	32	28	26	19
Smoc2	14	8	4	2	6	4
Thbs2	13	3	2	5	3	5
Wdr27	17	23	4	9	11	11
X1600012H06Rik	111	81	44	38	50	57
Phf10	541	308	168	178	192	192
Gm3417	6	2	4	3	1	3
X9030025P20Rik	30	21	15	9	12	5
Gm3448	147	81	49	57	50	45
Gm3435	10	2	2	2	6	3
Ermard	91	69	37	34	26	30
Gm5091	15	14	1	2	3	9
Dll1	86	43	30	38	20	20
A930024N18Rik	1	0	0	0	0	0
Fam120b	75	51	28	29	29	26
AC154378.1	7	7	2	1	0	4
Psmb1	5167	3558	1769	1815	2177	2096
Tbp	170	108	45	56	44	59
Pdcd2	841	528	246	244	298	364
Prdm9	16	4	8	8	4	4
CT033750.2	20	6	3	3	3	6
Chd1	2300	1390	689	693	747	759
Rgmb	130	81	29	39	29	43
BC002059	77	44	39	28	28	34
Zfp960	17	8	4	6	5	5
Zfp97	23	12	5	8	9	3
AC129328.1	102	55	37	37	23	33
Gm6712	22	13	7	4	6	3
AC154200.1	1	3	1	1	0	0
Riok2	698	468	219	213	264	270
Gm26873	4	2	2	2	0	0
Lix1	45	27	9	12	12	20
Lnpep	379	234	132	117	117	154
Spaca6	61	24	16	17	16	18
Has1	1	0	2	0	0	1
Ppp2r1a	804	583	282	290	327	317
Zfp160	38	37	16	18	17	18
Zfp677	13	15	3	3	5	1
Zfp54	14	11	7	4	8	9
Zfp51	60	50	14	23	25	22
Gm26753	1	0	0	0	0	0
Zfp53	128	56	30	31	30	18
X9330136K24Rik	2	0	0	1	0	1
Zfp52	6	8	3	6	2	2
Zfp948	45	28	12	15	12	22
Zfp983	9	5	1	1	2	4
Zfp760	44	40	20	16	21	22
Zfp229	274	171	98	121	95	106
Zfp820	170	83	64	47	53	46
Zfp995	45	47	15	11	18	26
Zfp942	116	74	40	33	43	42
Zfp943	41	13	16	6	8	6
Zfp947	20	12	7	9	8	10
Zfp994	39	23	10	15	22	15
Zfp944	90	55	33	33	34	27
Zfp758	44	37	20	24	21	18
Zfp946	72	43	23	24	32	29
Gm9805	0	0	1	0	0	0
Gm5493	5	8	3	0	2	3
Gm16386	7	2	1	4	2	1
Zfp945	260	167	100	95	101	122
Zfp40	46	25	12	11	22	13
Zfp213	59	39	14	14	19	24
Zfp13	69	52	34	29	41	40
Zscan10	162	100	66	85	56	67
Mmp25	13	6	2	4	2	5
Bicdl2	5	5	0	2	1	0
Thoc6	570	385	165	189	259	246
Hcfc1r1	464	316	187	185	238	193
Tnfrsf12a	206	92	67	57	77	78
Cldn6	106	73	38	49	54	53
Cldn9	6	1	2	1	2	4
X1520401A03Rik	6	2	1	5	1	0
Pkmyt1	136	114	60	49	67	72
Paqr4	10	10	8	7	6	6
Kremen2	10	7	3	4	3	4
X9530082P21Rik	6	1	1	0	3	4
Flywch1	187	134	63	67	82	77
Flywch2	96	67	29	46	38	31
D930048G16Rik	8	0	0	1	2	2
Srrm2	6743	4127	2263	2382	2529	2592
Elob	8140	6203	3423	3532	3887	3928
Prss33	1	3	1	0	0	0
Prss41	19	9	11	13	7	13
Dcpp1	0	0	0	0	0	0
Dcpp3	0	0	0	0	0	0
Prss22	4	0	1	0	0	0
Prss27	12	6	4	5	5	3
Kctd5	431	263	122	123	173	170
Pdpk1	398	286	135	138	144	153
Amdhd2	330	212	92	116	154	141
Atp6v0c	10	8	6	7	6	3
Tbc1d24	97	45	46	34	25	43
Tedc2	84	63	33	42	46	33
Ccnf	482	352	180	183	186	222
Abca17	9	6	7	3	1	2
Abca3	41	37	9	21	11	17
Rnps1	2306	1541	851	893	965	1021
Eci1	1072	609	335	313	404	378
Dnase1l2	0	3	1	1	0	1
E4f1	45	39	17	16	21	18
Pgp	1852	1310	665	645	755	794
Mlst8	66	44	24	36	25	32
Caskin1	33	36	10	10	17	12
Traf7	379	252	128	133	159	140
Rab26	35	26	10	8	16	12
Rab26os	32	35	21	18	39	31
Pkd1	38	28	15	15	28	16
Tsc2	141	99	40	58	49	59
Nthl1	299	190	128	107	170	120
Slc9a3r2	266	153	85	76	91	83
Npw	23	6	5	6	3	7
Zfp598	263	198	94	98	101	120
Syngr3	36	18	16	16	21	18
Gfer	2471	1601	826	835	1061	1014
Noxo1	13	6	3	2	4	8
Tbl3	324	227	112	120	145	162
Rps2	10951	11243	6084	7119	8884	8093
Snhg9	26	20	11	6	14	3
Ndufb10	2580	1643	793	831	945	1011
Rpl3l	34	27	10	9	15	13
Msrb1	372	246	135	109	165	148
Hs3st6	14	14	6	11	16	11
Meiob	24	9	5	7	8	4
Hagh	645	409	191	198	245	244
Fahd1	143	93	43	50	44	54
Igfals	10	7	4	4	2	2
Nubp2	382	246	166	153	177	160
Spsb3	230	156	75	67	108	100
Eme2	5	2	3	0	1	3
Mapk8ip3	142	95	43	56	52	58
Mrps34	878	566	306	312	421	393
Jpt2	544	344	191	178	215	202
Cramp1l	135	108	58	46	68	59
Ift140	64	45	22	17	21	27
Tmem204	1	0	0	0	0	0
Telo2	142	83	36	40	52	50
Ptx4	0	0	0	0	0	0
Clcn7	45	40	13	16	21	20
BC003965	585	363	191	187	208	219
Unkl	84	44	20	23	24	34
Gnptg	145	86	57	60	58	46
Tsr3	519	324	182	184	227	222
Baiap3	4	3	1	1	1	2
Ube2i	4477	2700	1349	1381	1512	1460
Cacna1h	13	11	6	5	10	7
Tekt4	0	0	0	0	0	1
Sox8	22	8	9	6	3	7
Lmf1	80	49	29	24	20	34
Gng13	31	30	12	13	15	19
Chtf18	195	151	78	56	76	87
Rpusd1	66	52	32	31	23	33
Msln	8	2	1	3	2	2
Narfl	80	51	34	33	33	39
Haghl	136	82	48	52	58	60
Ccdc78	1	4	2	1	0	0
Fam173a	221	165	86	91	102	99
Metrn	144	95	44	50	45	33
Gm26694	1	0	1	0	0	1
Fbxl16	12	3	3	2	4	2
Wdr24	84	62	35	29	35	34
Jmjd8	37	30	14	17	12	17
Stub1	1274	786	395	422	524	542
Rhot2	83	45	35	36	41	29
Wdr90	18	14	11	9	14	8
Mcrip2	138	85	42	44	51	52
Mettl26	334	204	119	106	150	135
Wfikkn1	5	2	1	1	3	2
Rab40c	129	90	38	45	59	56
Pigq	150	121	51	51	61	73
Capn15	162	106	44	37	65	60
X1700022N22Rik	15	12	4	8	6	7
Rab11fip3	34	18	11	13	7	9
Decr2	83	63	27	30	34	33
Nme4	821	517	251	258	305	286
Gm8186	168	107	101	95	110	75
Tmem8	90	66	37	21	51	47
Mrpl28	2190	1330	681	775	859	769
Axin1	298	168	95	111	98	106
Arhgdig	290	166	64	77	97	88
Rgs11	5	12	7	3	7	8
Fam234a	104	73	20	25	34	40
Luc7l	1369	839	460	454	498	514
Neurl1b	6	4	0	2	4	1
Dusp1	440	356	190	203	182	192
Gm8225	2	3	2	4	3	6
Ergic1	297	179	102	116	105	122
Atp6v0e	1745	1035	550	532	657	610
Crebrf	355	250	176	139	134	146
Bnip1	202	140	60	57	84	79
Nkx2.5	9	4	3	1	2	0
Gm17382	1	5	0	0	2	0
Kifc5b	40	29	4	8	12	13
Phf1	26	15	8	6	20	12
Cuta	874	526	270	258	333	322
Syngap1	8	1	1	3	0	3
Ggnbp1	60	50	19	35	23	34
Bak1	193	137	75	66	71	63
Itpr3	128	96	41	43	44	55
Uqcc2	2504	1930	1125	1074	1189	1116
Lemd2	187	124	65	72	68	77
Gm26724	74	30	22	21	19	20
Grm4	22	15	7	8	4	5
AC127341.3	25	13	7	16	13	15
Hmga1	474	173	60	54	42	53
AI413582	98	89	44	42	46	53
Nudt3	342	229	113	126	140	131
Rps10	51484	37025	17891	19130	21375	20566
Pacsin1	218	124	63	68	79	75
Spdef	4	1	0	1	2	1
D17Wsu92e	428	237	158	121	156	185
Snrpc	2174	1360	805	859	971	960
Uhrf1bp1	98	74	29	25	40	29
Taf11	561	351	151	155	192	181
Anks1	46	34	19	23	18	16
Tcp11	76	52	17	19	43	38
Scube3	28	23	13	9	10	7
Zfp523	34	32	15	10	11	22
Def6	89	62	25	31	31	22
Ppard	35	23	16	13	17	19
Fance	228	137	76	61	91	83
Rpl10a	29514	21607	10518	11214	12548	12455
Tead3	16	14	5	4	5	7
Tulp1	26	16	7	5	11	13
Fkbp5	370	253	137	132	117	100
E230001N04Rik	24	14	2	7	6	8
Clps	14	14	6	8	4	13
Lhfpl5	15	6	5	6	10	6
Srpk1	2143	1456	689	656	793	819
Slc26a8	2	0	0	0	1	0
Mapk14	369	248	118	129	157	144
Mapk13	201	160	74	67	92	74
Brpf3	148	122	67	59	64	80
X4930539E08Rik	4	5	4	1	3	3
Kctd20	405	266	130	125	142	140
Stk38	1123	763	406	417	391	430
Srsf3	7451	4432	2346	2408	2723	2759
Trp53cor1	12	16	3	12	7	10
Cdkn1a	1621	1034	524	523	578	612
Rab44	0	0	2	0	0	0
Cpne5	271	184	96	100	131	122
Ppil1	1002	636	307	301	378	359
BC004004	288	187	79	90	84	102
Pi16	7	7	3	1	4	1
Mtch1	703	455	193	223	278	253
Fgd2	5	8	4	2	6	3
Gm26885	37	13	20	7	13	12
Pim1	1401	945	566	505	576	612
Tbc1d22b	67	40	18	21	15	14
Tbc1d22bos	1	0	0	0	0	1
Rnf8	236	175	71	87	113	110
Gm28043	1	1	1	0	1	0
Cmtr1	18	12	11	5	5	9
Ccdc167	87	61	34	33	29	50
Mdga1	10	7	2	2	5	5
Zfand3	300	178	82	98	130	104
Btbd9	150	92	35	43	57	69
Glo1	1473	996	455	476	579	561
X1700097N02Rik	415	299	140	139	171	169
Dnah8	183	154	65	70	77	66
Abcg1	48	35	20	19	19	19
Tff3	0	2	6	5	5	8
Tff2	13	4	2	7	4	4
Tff1	4	1	2	3	5	2
Ubash3a	6	2	2	3	2	0
Rsph1	170	119	69	74	68	73
Slc37a1	26	18	12	12	13	18
Pde9a	10	13	5	2	3	6
Wdr4	177	129	78	83	105	85
Ndufv3	1686	1415	849	996	964	974
Pknox1	193	115	57	54	71	59
Cbs	115	72	35	31	48	39
U2af1	4339	2507	1370	1419	1706	1666
Sik1	189	122	77	67	66	81
Hsf2bp	359	200	98	100	131	100
Rrp1b	1207	861	440	417	464	445
Notch3	75	47	22	27	34	24
Ephx3	5	5	2	0	5	0
Brd4	1597	995	563	590	614	632
Akap8	1129	664	323	414	465	436
Akap8l	617	429	214	253	230	232
Wiz	264	147	104	98	83	84
Rasal3	4	7	4	5	2	3
Cyp4f17	5	5	3	5	0	1
Cyp4f16	59	37	12	22	30	32
Cyp4f15	2	1	0	0	0	0
Zfp871	233	148	71	94	79	90
Gm17115	0	1	0	1	0	0
Zfp811	24	16	14	10	12	14
Zfp799	25	29	17	13	15	18
Zfp870	36	39	15	16	12	22
Cyp4f13	51	34	16	23	17	22
Zfp472	77	62	25	34	33	33
Zfp952	51	32	13	12	19	23
Zfp763	32	19	12	12	13	13
Zfp563	9	12	1	2	4	4
Zfp955a	51	14	19	12	13	15
Zfp955b	48	27	14	18	6	15
Zfp81	116	106	42	42	56	39
Zfp101	91	64	25	22	28	33
Adamts10	41	21	12	16	13	16
Myo1f	140	96	46	55	59	62
Zfp414	198	153	83	63	69	89
Pram1	0	0	1	0	0	0
Hnrnpm	1985	1300	718	705	778	789
March2	202	115	49	54	59	57
Rab11b	549	355	151	172	179	191
Angptl4	114	77	33	34	38	40
Kank3	488	389	146	175	234	186
Rps28	12593	11428	5947	6779	7087	6693
Ndufa7	5764	4603	2549	2709	2876	2974
Cd320	840	513	259	290	308	310
Kifc1	104	83	42	51	60	60
Platr17	292	187	88	106	105	122
BC051226	107	55	30	26	35	41
Daxx	377	220	126	119	137	153
Tapbp	161	118	53	57	62	76
Zbtb22	81	41	37	23	30	30
Gm19412	25	30	10	7	7	12
Rgl2	137	90	40	41	49	71
Pfdn6	3127	1797	984	976	1134	1077
Wdr46	359	187	140	121	121	127
B3galt4	70	30	8	29	22	21
Rps18	18533	14928	7787	8454	9837	9032
Vps52	113	74	34	36	39	47
H2.K1	411	284	114	123	181	141
Ring1	78	51	24	24	39	30
H2.Ke6	121	80	48	47	57	52
Slc39a7	429	248	121	123	132	155
Rxrb	181	146	58	77	73	92
Col11a2	4	3	2	0	3	3
BC051537	2	0	0	2	2	1
H2.Oa	10	3	5	5	6	4
Brd2	2055	1256	790	749	653	640
H2.DMa	22	15	13	14	15	11
H2.DMb1	34	31	19	21	30	26
Psmb9	60	48	23	11	25	26
Tap1	28	19	14	9	21	19
Psmb8	90	65	24	31	26	33
Tap2	11	11	2	5	4	2
H2.Ab1	43	30	23	21	21	33
H2.Aa	12	6	3	4	3	0
H2.Eb1	121	84	68	40	69	58
H2.Eb2	2	0	1	0	0	1
BC051142	7	3	2	4	4	1
Notch4	12	13	3	7	4	8
Gpsm3	49	33	19	14	18	28
Pbx2	271	164	72	80	86	75
Ager	2	5	1	3	2	1
Rnf5	284	179	97	99	110	112
Agpat1	117	89	46	38	46	44
Egfl8	9	6	2	4	1	1
Ppt2	88	57	41	37	36	42
Prrt1	1	0	0	0	0	0
Fkbpl	67	57	30	30	38	33
Atf6b	137	82	50	54	48	55
Tnxb	1	1	1	0	1	1
Stk19	187	150	66	90	78	69
Dxo	155	93	46	51	54	78
Skiv2l	80	54	24	27	28	38
Nelfe	690	440	193	194	250	250
Cfb	0	0	0	0	0	0
C2	7	10	2	3	3	5
Zbtb12	126	85	44	41	58	54
Ehmt2	381	264	135	139	154	166
Slc44a4	21	12	8	15	10	5
Neu1	130	96	60	61	68	45
Hspa1b	11	9	9	7	4	4
Hspa1a	29	13	19	19	9	16
Gm10501	4	2	1	0	2	1
Lsm2	2330	1401	730	720	864	897
Vars	909	577	297	308	278	332
Vwa7	2	1	1	0	0	1
Sapcd1	21	20	13	17	16	9
Msh5	15	9	5	5	5	6
Clic1	695	446	240	245	288	269
Ddah2	1088	712	432	469	501	492
Mpig6b	4	1	0	0	1	2
Ly6g6c	1	4	1	2	1	2
Ly6g6d	9	6	2	2	9	7
Ly6g6e	45	33	22	22	20	23
Abhd16a	94	72	37	25	26	37
Ly6g5b	5	0	2	1	2	4
Csnk2b	1140	742	403	420	548	468
Gpank1	197	137	77	73	97	94
Gm20522	3	6	1	2	2	1
D17H6S53E	11	13	9	3	8	4
Apom	20	10	8	7	21	24
Bag6	658	390	198	213	226	216
Prrc2a	695	471	259	263	266	261
Gm17705	1	0	1	0	0	0
Lst1	6	11	16	9	10	5
Ltb	18	6	8	8	6	1
Nfkbil1	115	69	37	36	44	36
Atp6v1g2	3	1	0	1	1	2
Ddx39b	2284	1400	658	656	825	865
H2.D1	159	77	42	44	36	50
H2.Q2	7	13	5	6	12	4
Gm11131	8	4	2	3	1	1
H2.Q4	23	21	5	9	11	12
H2.Q6	7	4	1	1	2	3
H2.Q7	54	53	21	13	25	14
H2.Q10	27	10	9	6	15	10
Pou5f1	4669	2959	1654	1724	1949	2027
Gm19553	22	5	8	6	2	3
Tcf19	21	13	7	4	11	8
Cchcr1	84	56	19	28	34	27
Psors1c2	35	25	6	11	9	7
Cdsn	7	1	2	2	0	1
X2300002M23Rik	14	9	10	12	11	6
Sfta2	2	1	0	0	0	0
Dpcr1	7	5	4	6	7	5
Vars2	84	72	32	29	29	38
Gtf2h4	492	260	145	155	178	182
Ddr1	87	45	27	17	26	24
Gm4577	1	1	1	0	0	0
Gm20442	0	2	1	2	0	0
Ier3	481	278	158	186	209	201
Flot1	271	187	104	88	101	121
Tubb5	13188	9559	4510	4498	5731	5558
Mdc1	520	356	203	177	179	219
Ppp1r18os	11	4	2	6	6	4
Nrm	179	120	46	56	56	67
Ppp1r18	117	76	41	42	46	59
Dhx16	1311	823	432	456	567	543
X2310061I04Rik	286	203	101	121	101	118
Gm16279	14	8	4	5	2	3
Atat1	147	93	44	50	65	53
Mrps18b	1024	662	383	398	492	463
Ppp1r10	846	574	238	269	257	285
Abcf1	1949	1319	716	770	838	821
Prr3	112	95	47	46	48	36
Gnl1	516	322	160	165	201	212
A930015D03Rik	3	4	1	2	0	0
H2.T24	0	1	3	0	0	0
H2.T23	10	14	3	6	11	6
H2.T22	113	68	31	29	28	37
X2410017I17Rik	18	16	9	15	6	11
Gm8909	125	82	46	25	35	40
Gm20478	19	14	3	4	12	6
Rpp21	631	413	254	264	336	297
Trim39	66	41	13	31	28	28
Trim26	468	393	156	176	191	222
Trim15	0	0	0	0	0	0
Trim10	4	1	0	0	0	0
Ppp1r11	726	471	255	252	265	308
Znrd1	999	625	282	313	325	365
Znrd1as	274	205	97	94	122	112
X2410137M14Rik	25	14	7	12	7	5
H2.M5	45	27	15	15	14	15
Zfp57	564	371	193	185	191	225
Gabbr1	187	116	62	73	61	56
Ubd	125	114	62	50	62	57
H2.M3	31	28	13	10	15	15
Gm26917	3032	1775	1187	1044	1236	1204
Gm42418	38566	21984	21237	17043	17426	19828
AY036118	1275	799	786	614	613	717
Crisp1	16	7	3	5	7	11
Rhag	0	1	0	0	0	0
X9130008F23Rik	5	6	4	1	4	3
Cenpq	322	211	104	101	103	87
Mut	200	117	78	66	75	78
Ptchd4	2	1	0	0	0	1
Adgrf4	0	0	0	0	0	3
Cd2ap	1279	893	386	421	458	529
Tnfrsf21	53	53	21	15	20	19
Adgrf5	8	7	6	0	0	3
Ankrd66	4	0	0	1	1	1
Pla2g7	24	29	11	5	7	9
Slc25a27	9	6	2	4	2	3
Cyp39a1	11	12	3	6	4	5
Rcan2	8	3	6	1	3	4
Enpp5	23	23	15	14	15	14
Enpp4	50	31	16	11	13	20
Clic5	5	3	2	0	3	3
Runx2	0	2	0	0	0	0
Runx2os1	0	0	0	1	0	0
Supt3	130	90	42	39	44	49
Cdc5l	3102	1902	1118	1143	1146	1258
B230354K17Rik	275	212	86	112	102	121
Spats1	46	26	11	19	23	17
Aars2	91	62	32	34	32	36
Tmem151b	4	2	1	3	0	1
Nfkbie	13	7	5	4	7	4
Slc35b2	273	170	110	98	115	124
Hsp90ab1	88156	57043	30550	31553	35260	35393
Slc29a1	700	462	243	238	242	255
Mymx	381	266	138	135	139	138
Capn11	16	15	7	3	8	8
Tmem63b	433	301	156	167	198	190
Gm16172	0	0	1	0	0	0
Mrpl14	1192	776	341	368	453	409
X1600014C23Rik	6	14	1	6	6	9
F630040K05Rik	8	4	3	2	2	1
Vegfa	107	85	42	48	62	46
Mrps18a	1396	875	448	423	581	459
Rsph9	80	57	36	44	43	42
Mad2l1bp	186	119	67	59	78	78
Gtpbp2	85	53	26	35	34	36
Polh	22	13	9	7	5	14
Xpo5	384	215	108	107	123	96
Polr1c	1666	1112	569	560	696	697
Yipf3	344	206	121	97	136	138
Lrrc73	29	21	7	4	4	10
Tjap1	221	150	76	61	81	89
Gm26785	6	4	6	1	3	4
Dlk2	2	0	0	0	0	0
Abcc10	17	12	8	8	10	2
Zfp318	528	433	185	168	218	211
Slc22a7	39	20	16	21	16	21
Gm5093	16	2	1	8	2	11
Ttbk1	4	1	1	0	3	1
Dnph1	426	244	125	187	189	168
Cul9	34	15	11	10	11	14
Srf	195	93	54	52	67	78
Ptk7	103	58	28	32	55	39
Klc4	78	56	26	30	32	36
Mrpl2	1456	900	477	466	582	550
Cul7	176	118	75	77	60	63
Rrp36	396	239	99	122	148	141
Klhdc3	365	229	126	135	127	146
Mea1	938	593	315	314	420	368
Ppp2r5d	263	160	86	106	108	130
Pex6	88	62	39	39	32	40
Gnmt	22	16	6	7	3	7
Cnpy3	213	139	73	73	96	94
Ptcra	30	33	7	15	28	13
X2310039H08Rik	312	297	127	118	163	139
Rpl7l1	2202	1371	751	710	913	859
Bicral	133	107	68	63	65	61
Tbcc	431	285	116	122	172	183
Ubr2	382	267	137	135	123	155
Mrps10	1149	737	360	375	424	383
