tile_name	marked_duplicates
Gata4_chr14_5729__Eptesicus_fuscus_20240416.fa__JH977673.1:8505115-8505415()	['Gata4_chr14_5729__fullTreeAnc139_20240416.fa__fullTreeAnc139refChr18804:51937-52237()', 'Gata4_chr14_5729__fullTreeAnc140_20240416.fa__fullTreeAnc140refChr14626:313706-314006()', 'Gata4_chr14_5729__Pipistrellus_pipistrellus_20240416.fa__PipPip_scaffold_36461:3090-3390()_RC']
Gata4_chr14_5729__fullTreeAnc13_20240416.fa__fullTreeAnc13refChr1089:48250-48553()_RC	['Gata4_chr14_5729__fullTreeAnc14_20240416.fa__fullTreeAnc14refChr22805:133744-134047()_RC']
Gata4_chr14_5729__fullTreeAnc141_20240416.fa__fullTreeAnc141refChr11526:70407-70707()_RC	['Gata4_chr14_5729__fullTreeAnc142_20240416.fa__fullTreeAnc142refChr14925:64654-64954()', 'Gata4_chr14_5729__fullTreeAnc143_20240416.fa__fullTreeAnc143refChr15369:23804-24104()', 'Gata4_chr14_5729__fullTreeAnc144_20240416.fa__fullTreeAnc144refChr13190:128510-128810()_RC', 'Gata4_chr14_5729__fullTreeAnc145_20240416.fa__fullTreeAnc145refChr16550:165975-166275()']
Gata4_chr14_5729__Camelus_ferus_20240416.fa__KB017461.1:469005-469309()_RC	['Gata4_chr14_5729__fullTreeAnc153_20240416.fa__fullTreeAnc153refChr3741:2243090-2243394()']
Gata4_chr14_5729__fullTreeAnc157_20240416.fa__fullTreeAnc157refChr47218:48044-48346()	['Gata4_chr14_5729__fullTreeAnc158_20240416.fa__fullTreeAnc158refChr3933:80931-81233()']
Gata4_chr14_5729__Capra_aegagrus_20240416.fa__CM003221.1:7640518-7640822()_RC	['Gata4_chr14_5729__fullTreeAnc174_20240416.fa__fullTreeAnc174refChr3770:1070678-1070982()']
Gata4_chr14_5729__fullTreeAnc175_20240416.fa__fullTreeAnc175refChr5365:1068723-1069027()	['Gata4_chr14_5729__fullTreeAnc176_20240416.fa__fullTreeAnc176refChr4925:406565-406869()_RC', 'Gata4_chr14_5729__fullTreeAnc177_20240416.fa__fullTreeAnc177refChr8951:1639967-1640271()', 'Gata4_chr14_5729__fullTreeAnc178_20240416.fa__fullTreeAnc178refChr6436:381902-382206()', 'Gata4_chr14_5729__Hemitragus_hylocrius_20240416.fa__HemHyl_scaffold_4008:163946-164250()', 'Gata4_chr14_5729__Ovis_aries_20240416.fa__CM001583.2:104345524-104345828()']
Gata4_chr14_5729__fullTreeAnc180_20240416.fa__fullTreeAnc180refChr22192:334112-334416()	['Gata4_chr14_5729__fullTreeAnc181_20240416.fa__fullTreeAnc181refChr5363:716914-717218()']
Gata4_chr14_5729__fullTreeAnc191_20240416.fa__fullTreeAnc191refChr9865:99636-99938()	['Gata4_chr14_5729__fullTreeAnc193_20240416.fa__fullTreeAnc193refChr2093:265500-265802()']
Gata4_chr14_5729__fullTreeAnc195_20240416.fa__fullTreeAnc195refChr4803:105518-105822()_RC	['Gata4_chr14_5729__fullTreeAnc196_20240416.fa__fullTreeAnc196refChr3529:589258-589562()_RC', 'Gata4_chr14_5729__Suricata_suricatta_20240416.fa__SurSur_flattened_line_2687:115156-115460()_RC']
Gata4_chr14_5729__fullTreeAnc198_20240416.fa__fullTreeAnc198refChr5663:296241-296541()	['Gata4_chr14_5729__fullTreeAnc199_20240416.fa__fullTreeAnc199refChr9038:362277-362577()']
Gata4_chr14_5729__Acinonyx_jubatus_20240416.fa__LLWD01000403.1:1518662-1518963()_RC	['Gata4_chr14_5729__fullTreeAnc200_20240416.fa__fullTreeAnc200refChr3031:4514245-4514546()', 'Gata4_chr14_5729__fullTreeAnc201_20240416.fa__fullTreeAnc201refChr1484:2463234-2463535()_RC', 'Gata4_chr14_5729__fullTreeAnc203_20240416.fa__fullTreeAnc203refChr3149:4007824-4008125()_RC', 'Gata4_chr14_5729__fullTreeAnc204_20240416.fa__fullTreeAnc204refChr1192:1775855-1776156()_RC', 'Gata4_chr14_5729__fullTreeAnc205_20240416.fa__fullTreeAnc205refChr1308:6608504-6608805()', 'Gata4_chr14_5729__Panthera_onca_20240416.fa__PanOnc_flattened_line_12407:44590-44891()', 'Gata4_chr14_5729__Panthera_pardus_20240416.fa__KV860278.1:15290105-15290406()']
Gata4_chr14_5729__Felis_nigripes_20240416.fa__FelNig_flattened_line_127074:5449-5750()_RC	['Gata4_chr14_5729__fullTreeAnc202_20240416.fa__fullTreeAnc202refChr11363:114262-114563()']
Gata4_chr14_5729__fullTreeAnc211_20240416.fa__fullTreeAnc211refChr4892:104368-104668()_RC	['Gata4_chr14_5729__fullTreeAnc212_20240416.fa__fullTreeAnc212refChr12394:368085-368385()']
Gata4_chr14_5729__fullTreeAnc216_20240416.fa__fullTreeAnc216refChr8088:352669-352969()_RC	['Gata4_chr14_5729__fullTreeAnc217_20240416.fa__fullTreeAnc217refChr2421:4237023-4237323()', 'Gata4_chr14_5729__Mirounga_angustirostris_20240416.fa__MirAng_flattened_line_1791:136518-136818()']
Gata4_chr14_5729__Equus_asinus_20240416.fa__JREZ01000682.1:523001-523304()_RC	['Gata4_chr14_5729__fullTreeAnc227_20240416.fa__fullTreeAnc227refChr1451:334312-334615()_RC']
Gata4_chr14_5729__fullTreeAnc20_20240416.fa__fullTreeAnc20refChr27951:121136-121436()	['Gata4_chr14_5729__fullTreeAnc23_20240416.fa__fullTreeAnc23refChr9268:444966-445266()']
Gata4_chr14_5729__fullTreeAnc231_20240416.fa__fullTreeAnc231refChr6144:1408447-1408749()	['Gata4_chr14_5729__fullTreeAnc232_20240416.fa__fullTreeAnc232refChr5474:247438-247740()_RC']
Gata4_chr14_5729__fullTreeAnc225_20240416.fa__fullTreeAnc225refChr15418:47996-48299()_RC	['Gata4_chr14_5729__fullTreeAnc234_20240416.fa__fullTreeAnc234refChr3191:120549-120852()_RC']
Gata4_chr14_5729__fullTreeAnc24_20240416.fa__fullTreeAnc24refChr19277:321457-321757()	['Gata4_chr14_5729__fullTreeAnc25_20240416.fa__fullTreeAnc25refChr48566:54982-55282()_RC']
Gata4_chr14_5729__fullTreeAnc32_20240416.fa__Anc27refChr1587:118634-118933()_RC	['Gata4_chr14_5729__fullTreeAnc33_20240416.fa__fullTreeAnc33refChr7159:48774-49073()_RC']
Gata4_chr14_5729__fullTreeAnc43_20240416.fa__fullTreeAnc43refChr20248:876788-877081()	['Gata4_chr14_5729__fullTreeAnc44_20240416.fa__fullTreeAnc44refChr13147:123208-123501()_RC', 'Gata4_chr14_5729__fullTreeAnc45_20240416.fa__fullTreeAnc45refChr11826:122687-122980()_RC']
Gata4_chr14_5729__Allactaga_bullata_20240416.fa__AllBul_scaffold_2218:47053-47349()	['Gata4_chr14_5729__fullTreeAnc53_20240416.fa__fullTreeAnc53refChr52609:139269-139565()']
Gata4_chr14_5729__Dipodomys_ordii_20240416.fa__KN672420.1:2551809-2552111()	['Gata4_chr14_5729__fullTreeAnc56_20240416.fa__fullTreeAnc56refChr6080:144906-145208()_RC']
Gata4_chr14_5729__fullTreeAnc60_20240416.fa__fullTreeAnc60refChr16562:317304-317606()	['Gata4_chr14_5729__fullTreeAnc61_20240416.fa__fullTreeAnc61refChr9855:148425-148727()_RC']
Gata4_chr14_5729__fullTreeAnc34_20240416.fa__fullTreeAnc34refChr14939:50427-50726()_RC	['Gata4_chr14_5729__fullTreeAnc67_20240416.fa__fullTreeAnc67refChr22932:4968-5267()_RC', 'Gata4_chr14_5729__fullTreeAnc68_20240416.fa__fullTreeAnc68refChr9483:4437-4736()_RC']
Gata4_chr14_5729__Eulemur_fulvus_20240416.fa__EulFul_scaffold_36640:24297-24608()	['Gata4_chr14_5729__fullTreeAnc75_20240416.fa__fullTreeAnc75refChr12355:202916-203227()']
Gata4_chr14_5729__fullTreeAnc74_20240416.fa__fullTreeAnc74refChr8240:102464-102766()	['Gata4_chr14_5729__fullTreeAnc77_20240416.fa__fullTreeAnc77refChr1492:186321-186623()_RC']
Gata4_chr14_5729__fullTreeAnc7_20240416.fa__fullTreeAnc7refChr22362:59150-59453()_RC	['Gata4_chr14_5729__fullTreeAnc8_20240416.fa__fullTreeAnc8refChr8050:247993-248296()']
Gata4_chr14_5729__Aotus_nancymaae_20240416.fa__KZ205717.1:1421752-1422055()	['Gata4_chr14_5729__fullTreeAnc82_20240416.fa__fullTreeAnc82refChr9179:326426-326729()', 'Gata4_chr14_5729__fullTreeAnc85_20240416.fa__fullTreeAnc85refChr1425:1169064-1169367()', 'Gata4_chr14_5729__fullTreeAnc87_20240416.fa__fullTreeAnc87refChr4498:846937-847240()', 'Gata4_chr14_5729__fullTreeAnc88_20240416.fa__fullTreeAnc88refChr7132:253831-254134()_RC']
Gata4_chr14_5729__Cebus_albifrons_20240416.fa__CebAlb_scaffold_119628:4101-4403()_RC	['Gata4_chr14_5729__fullTreeAnc83_20240416.fa__fullTreeAnc83refChr22963:1186755-1187057()']
Gata4_chr14_5729__fullTreeAnc89_20240416.fa__fullTreeAnc89refChr5797:314735-315032()_RC	['Gata4_chr14_5729__fullTreeAnc90_20240416.fa__fullTreeAnc90refChr1509:2052995-2053292()', 'Gata4_chr14_5729__fullTreeAnc91_20240416.fa__fullTreeAnc91refChr3345:312783-313080()_RC', 'Gata4_chr14_5729__fullTreeAnc92_20240416.fa__fullTreeAnc92refChr1941:307702-307999()_RC', 'Gata4_chr14_5729__fullTreeAnc93_20240416.fa__fullTreeAnc93refChr4058:72980-73277()_RC', 'Gata4_chr14_5729__Macaca_fascicularis_20240416.fa__CM001926.1:8990705-8991002()_RC', 'Gata4_chr14_5729__Macaca_mulatta_20240416.fa__CM002985.3:8015287-8015584()_RC', 'Gata4_chr14_5729__Macaca_nemestrina_20240416.fa__KQ005362.1:6932994-6933291()', 'Gata4_chr14_5729__Papio_anubis_20240416.fa__CM001498.2:7257224-7257521()_RC']
Gata4_chr14_5729__fullTreeAnc97_20240416.fa__fullTreeAnc97refChr6907:295875-296172()_RC	['Gata4_chr14_5729__fullTreeAnc98_20240416.fa__fullTreeAnc98refChr11891:74113-74410()_RC', 'Gata4_chr14_5729__fullTreeAnc99_20240416.fa__fullTreeAnc99refChr14685:297461-297758()_RC', 'Gata4_chr14_5729__Nasalis_larvatus_20240416.fa__NasLar_scaffold_5857:13370-13667()_RC', 'Gata4_chr14_5729__Rhinopithecus_bieti_20240416.fa__MCGX01004918.1:310036-310333()_RC', 'Gata4_chr14_5729__Rhinopithecus_roxellana_20240416.fa__KN298787.1:597514-597811()']
Gata4_chr14_5729__fullTreeAnc6_20240416.fa__fullTreeAnc6refChr33909:171582-171883()	['Gata4_chr14_5729__Heterohyrax_brucei_20240416.fa__HetBruBak_scaffold_1364:169412-169713()', 'Gata4_chr14_5729__Procavia_capensis_20240416.fa__ProCapCap_scaffold_3249:107469-107770()']
Gata4_chr14_5729__fullTreeAnc105_20240416.fa__fullTreeAnc105refChr3808:391164-391462()	['Gata4_chr14_5729__Homo_sapiens_20240416.fa__chr8:11718907-11719205()']
Gata4_chr14_5729__fullTreeAnc160_20240416.fa__fullTreeAnc160refChr1994:431699-432001()_RC	['Gata4_chr14_5729__Neophocaena_asiaeorientalis_20240416.fa__KZ688100.1:2011107-2011409()_RC', 'Gata4_chr14_5729__Phocoena_phocoena_20240416.fa__PhoPho_flattened_line_21103:72303-72605()']
Gata4_chr14_5729__fullTreeAnc215_20240416.fa__fullTreeAnc215refChr5186:515857-516156()	['Gata4_chr14_5729__Odobenus_rosmarus_20240416.fa__KB228917.1:4542410-4542709()_RC']
Gata4_chr14_5729__fullTreeAnc187_20240416.fa__fullTreeAnc187refChr13034:431785-432089()_RC	['Gata4_chr14_5729__Odocoileus_virginianus_20240416.fa__KZ104414.1:524184-524488()_RC']
Gata4_chr14_5729__fullTreeAnc15_20240416.fa__fullTreeAnc15refChr29297:37817-38119()_RC	['Gata4_chr14_5729__Oryctolagus_cuniculus_20240416.fa__CM000791.1:38261221-38261523()_RC']
Gata4_chr14_5729__fullTreeAnc179_20240416.fa__fullTreeAnc179refChr5988:333141-333445()	['Gata4_chr14_5729__Pantholops_hodgsonii_20240416.fa__KE116674.1:1333476-1333780()_RC']
Gata4_chr14_5729__fullTreeAnc80_20240416.fa__fullTreeAnc80refChr21431:104468-104746()_RC	['Gata4_chr14_5729__Pithecia_pithecia_20240416.fa__PitPit_scaffold_15946:1721-1999()']
Gata4_chr14_5729__fullTreeAnc39_20240416.fa__fullTreeAnc39refChr5005:48902-49197()_RC	['Gata4_chr14_5729__Psammomys_obesus_20240416.fa__NESX01020242.1:72433-72728()_RC']
Gata4_chr14_5729__fullTreeAnc113_20240416.fa__fullTreeAnc113refChr72740:5453-5753()_RC	['Gata4_chr14_5729__Tupaia_chinensis_20240416.fa__KB359234.1:2221092-2221392()']
Gata4_chr14_5729__fullTreeAnc163_20240416.fa__fullTreeAnc163refChr1296:314442-314736()	['Gata4_chr14_5729__Tursiops_truncatus_20240416.fa__MRVK01001840.1:8265562-8265856()_RC']
Lama1_chr17_7784__Canis_lupus_20240416.fa__CanFam_VD_scaffold_37044:875-1173()_RC	['Lama1_chr17_7784__Canis_lupus_familiaris_20240416.fa__chr7:73504071-73504369()_RC', 'Lama1_chr17_7784__fullTreeAnc207_20240416.fa__fullTreeAnc207refChr2869:1820273-1820571()_RC']
Lama1_chr17_7784__Ceratotherium_simum_20240416.fa__JH767727.1:61427761-61428047()	['Lama1_chr17_7784__Ceratotherium_simum_cottoni_20240416.fa__CerCot_scaffold_54396:16772-17058()', 'Lama1_chr17_7784__fullTreeAnc229_20240416.fa__fullTreeAnc229refChr8173:1534283-1534569()_RC']
Lama1_chr17_7784__fullTreeAnc132_20240416.fa__fullTreeAnc132refChr20428:14128-14410()_RC	['Lama1_chr17_7784__fullTreeAnc133_20240416.fa__fullTreeAnc133refChr11573:334563-334845()']
Lama1_chr17_7784__Camelus_bactrianus_20240416.fa__KN277050.1:6899588-6899904()_RC	['Lama1_chr17_7784__fullTreeAnc151_20240416.fa__fullTreeAnc151refChr4076:435530-435846()']
Lama1_chr17_7784__fullTreeAnc152_20240416.fa__fullTreeAnc152refChr2786:4904276-4904592()_RC	['Lama1_chr17_7784__fullTreeAnc153_20240416.fa__fullTreeAnc153refChr2275:1531361-1531677()']
Lama1_chr17_7784__Acinonyx_jubatus_20240416.fa__LLWD01000864.1:220485-220783()	['Lama1_chr17_7784__fullTreeAnc200_20240416.fa__fullTreeAnc200refChr5080:2697816-2698114()', 'Lama1_chr17_7784__fullTreeAnc201_20240416.fa__fullTreeAnc201refChr814:3723666-3723964()', 'Lama1_chr17_7784__fullTreeAnc203_20240416.fa__fullTreeAnc203refChr2976:1922104-1922402()_RC', 'Lama1_chr17_7784__fullTreeAnc204_20240416.fa__fullTreeAnc204refChr3173:707523-707821()_RC', 'Lama1_chr17_7784__fullTreeAnc205_20240416.fa__fullTreeAnc205refChr2436:651224-651522()_RC']
Lama1_chr17_7784__Felis_nigripes_20240416.fa__FelNig_flattened_line_119706:4865-5163()_RC	['Lama1_chr17_7784__fullTreeAnc202_20240416.fa__fullTreeAnc202refChr11374:241050-241348()']
Lama1_chr17_7784__fullTreeAnc217_20240416.fa__fullTreeAnc217refChr3267:527538-527835()	['Lama1_chr17_7784__Neomonachus_schauinslandi_20240416.fa__NINY01007861.1:785689-785986()']
Lama1_chr17_7784__fullTreeAnc113_20240416.fa__fullTreeAnc113refChr77516:5037-5360()_RC	['Lama1_chr17_7784__Tupaia_chinensis_20240416.fa__KB364377.1:1813373-1813696()_RC']
Sparc_chr11_7211__Balaenoptera_acutorostrata_20240416.fa__KI538108.1:258409-258638()	['Sparc_chr11_7211__Balaenoptera_bonaerensis_20240416.fa__DF431438.1:21680-21909()_RC', 'Sparc_chr11_7211__Eschrichtius_robustus_20240416.fa__EscRob_flattened_line_68065:6122-6351()', 'Sparc_chr11_7211__Eubalaena_japonica_20240416.fa__EubJap_flattened_line_16264:3445-3674()', 'Sparc_chr11_7211__fullTreeAnc154_20240416.fa__fullTreeAnc154refChr6165:2203181-2203410()', 'Sparc_chr11_7211__fullTreeAnc155_20240416.fa__fullTreeAnc155refChr6416:2211347-2211576()', 'Sparc_chr11_7211__fullTreeAnc156_20240416.fa__fullTreeAnc156refChr3764:310244-310473()_RC', 'Sparc_chr11_7211__fullTreeAnc168_20240416.fa__fullTreeAnc168refChr2708:270043-270272()_RC']
Sparc_chr11_7211__Canis_lupus_20240416.fa__CanFam_VD_scaffold_4908:223814-224119()	['Sparc_chr11_7211__Canis_lupus_familiaris_20240416.fa__chr4:57648959-57649264()_RC', 'Sparc_chr11_7211__fullTreeAnc207_20240416.fa__fullTreeAnc207refChr5054:60955-61260()_RC']
Sparc_chr11_7211__Capra_aegagrus_20240416.fa__CM003220.1:65436650-65436875()_RC	['Sparc_chr11_7211__Capra_hircus_20240416.fa__CM004568.1:47495137-47495362()', 'Sparc_chr11_7211__fullTreeAnc174_20240416.fa__fullTreeAnc174refChr3154:696450-696675()_RC']
Sparc_chr11_7211__Cavia_porcellus_20240416.fa__DS562936.1:3962649-3962860()_RC	['Sparc_chr11_7211__Cavia_tschudii_20240416.fa__CavTsc_scaffold_45158:8541-8752()', 'Sparc_chr11_7211__fullTreeAnc21_20240416.fa__fullTreeAnc21refChr7159:603357-603568()']
Sparc_chr11_7211__Ceratotherium_simum_20240416.fa__JH767748.1:25585178-25585521()	['Sparc_chr11_7211__Ceratotherium_simum_cottoni_20240416.fa__CerCot_scaffold_159005:6494-6837()', 'Sparc_chr11_7211__fullTreeAnc229_20240416.fa__fullTreeAnc229refChr10117:5194962-5195305()']
Sparc_chr11_7211__Equus_caballus_20240416.fa__CM000390.2:26497388-26497728()	['Sparc_chr11_7211__Equus_przewalskii_20240416.fa__KK950675.1:362969-363309()_RC', 'Sparc_chr11_7211__fullTreeAnc226_20240416.fa__fullTreeAnc226refChr3053:645166-645506()_RC']
Sparc_chr11_7211__fullTreeAnc101_20240416.fa__fullTreeAnc101refChr10209:2611668-2611915()	['Sparc_chr11_7211__fullTreeAnc102_20240416.fa__fullTreeAnc102refChr6429:809905-810152()_RC']
Sparc_chr11_7211__fullTreeAnc105_20240416.fa__fullTreeAnc105refChr3663:2749264-2749492()_RC	['Sparc_chr11_7211__fullTreeAnc106_20240416.fa__fullTreeAnc106refChr1498:1546999-1547227()']
Sparc_chr11_7211__fullTreeAnc107_20240416.fa__fullTreeAnc107refChr2624:2400840-2401068()	['Sparc_chr11_7211__fullTreeAnc108_20240416.fa__fullTreeAnc108refChr6242:728462-728690()_RC']
Sparc_chr11_7211__fullTreeAnc11_20240416.fa__fullTreeAnc11refChr98967:35977-36206()_RC	['Sparc_chr11_7211__fullTreeAnc12_20240416.fa__fullTreeAnc12refChr122776:5927-6156()']
Sparc_chr11_7211__fullTreeAnc133_20240416.fa__fullTreeAnc133refChr5842:509586-509898()	['Sparc_chr11_7211__fullTreeAnc135_20240416.fa__fullTreeAnc135refChr3254:967921-968233()_RC']
Sparc_chr11_7211__fullTreeAnc157_20240416.fa__fullTreeAnc157refChr59180:88201-88430()	['Sparc_chr11_7211__fullTreeAnc158_20240416.fa__fullTreeAnc158refChr4549:148908-149137()', 'Sparc_chr11_7211__fullTreeAnc165_20240416.fa__fullTreeAnc165refChr1513:1415854-1416083()_RC', 'Sparc_chr11_7211__fullTreeAnc166_20240416.fa__fullTreeAnc166refChr7609:96929-97158()', 'Sparc_chr11_7211__Ziphius_cavirostris_20240416.fa__ZipCav_flattened_line_94710:1912-2141()']
Sparc_chr11_7211__fullTreeAnc160_20240416.fa__fullTreeAnc160refChr3454:3354982-3355210()_RC	['Sparc_chr11_7211__fullTreeAnc162_20240416.fa__fullTreeAnc162refChr1223:314188-314416()', 'Sparc_chr11_7211__fullTreeAnc163_20240416.fa__fullTreeAnc163refChr2452:1400934-1401162()_RC', 'Sparc_chr11_7211__fullTreeAnc164_20240416.fa__fullTreeAnc164refChr1449:1960705-1960933()', 'Sparc_chr11_7211__Neophocaena_asiaeorientalis_20240416.fa__KZ686489.1:798648-798876()_RC']
Sparc_chr11_7211__Bos_taurus_20240416.fa__CM000183.7:65215190-65215415()_RC	['Sparc_chr11_7211__fullTreeAnc170_20240416.fa__fullTreeAnc170refChr3682:196191-196416()_RC']
Sparc_chr11_7211__fullTreeAnc171_20240416.fa__fullTreeAnc171refChr2658:1175383-1175608()	['Sparc_chr11_7211__fullTreeAnc172_20240416.fa__fullTreeAnc172refChr8793:187024-187249()_RC']
Sparc_chr11_7211__fullTreeAnc175_20240416.fa__fullTreeAnc175refChr602:695379-695604()_RC	['Sparc_chr11_7211__fullTreeAnc176_20240416.fa__fullTreeAnc176refChr2360:1442982-1443207()']
Sparc_chr11_7211__fullTreeAnc177_20240416.fa__fullTreeAnc177refChr8777:280213-280438()	['Sparc_chr11_7211__fullTreeAnc178_20240416.fa__fullTreeAnc178refChr6349:1002539-1002764()']
Sparc_chr11_7211__fullTreeAnc179_20240416.fa__fullTreeAnc179refChr4395:977887-978112()	['Sparc_chr11_7211__fullTreeAnc181_20240416.fa__fullTreeAnc181refChr2267:1559199-1559424()_RC']
Sparc_chr11_7211__fullTreeAnc183_20240416.fa__fullTreeAnc183refChr12256:197708-197933()_RC	['Sparc_chr11_7211__fullTreeAnc185_20240416.fa__fullTreeAnc185refChr6510:109120-109345()']
Sparc_chr11_7211__fullTreeAnc191_20240416.fa__fullTreeAnc191refChr15256:963886-964114()	['Sparc_chr11_7211__fullTreeAnc193_20240416.fa__fullTreeAnc193refChr10348:526929-527157()_RC']
Sparc_chr11_7211__fullTreeAnc195_20240416.fa__fullTreeAnc195refChr5064:190820-191143()	['Sparc_chr11_7211__fullTreeAnc196_20240416.fa__fullTreeAnc196refChr4735:457972-458295()_RC']
Sparc_chr11_7211__fullTreeAnc200_20240416.fa__fullTreeAnc200refChr3730:9311120-9311439()_RC	['Sparc_chr11_7211__fullTreeAnc201_20240416.fa__fullTreeAnc201refChr963:2210320-2210639()_RC', 'Sparc_chr11_7211__Panthera_pardus_20240416.fa__KV860316.1:14900388-14900707()_RC']
Sparc_chr11_7211__fullTreeAnc203_20240416.fa__fullTreeAnc203refChr3486:312237-312557()_RC	['Sparc_chr11_7211__fullTreeAnc204_20240416.fa__fullTreeAnc204refChr2175:7928685-7929005()']
Sparc_chr11_7211__fullTreeAnc216_20240416.fa__fullTreeAnc216refChr2437:296606-296904()_RC	['Sparc_chr11_7211__fullTreeAnc217_20240416.fa__fullTreeAnc217refChr1913:1381267-1381565()', 'Sparc_chr11_7211__Mirounga_angustirostris_20240416.fa__MirAng_flattened_line_61953:10735-11033()_RC']
Sparc_chr11_7211__Cavia_aperea_20240416.fa__AVPZ01000800.1:3960588-3960799()_RC	['Sparc_chr11_7211__fullTreeAnc22_20240416.fa__fullTreeAnc22refChr16998:569969-570180()']
Sparc_chr11_7211__fullTreeAnc219_20240416.fa__fullTreeAnc219refChr2013:115440-115741()_RC	['Sparc_chr11_7211__fullTreeAnc221_20240416.fa__fullTreeAnc221refChr2180:247192-247493()_RC']
Sparc_chr11_7211__fullTreeAnc1_20240416.fa__fullTreeAnc1refChr32998:100678-100890()_RC	['Sparc_chr11_7211__fullTreeAnc5_20240416.fa__fullTreeAnc5refChr5561:77536-77748()']
Sparc_chr11_7211__fullTreeAnc81_20240416.fa__fullTreeAnc81refChr18868:262573-262820()_RC	['Sparc_chr11_7211__fullTreeAnc82_20240416.fa__fullTreeAnc82refChr12068:828393-828640()', 'Sparc_chr11_7211__fullTreeAnc85_20240416.fa__fullTreeAnc85refChr8621:323516-323763()_RC', 'Sparc_chr11_7211__fullTreeAnc87_20240416.fa__fullTreeAnc87refChr2610:765393-765640()_RC']
Sparc_chr11_7211__Cebus_capucinus_20240416.fa__KV389552.1:676613-676861()_RC	['Sparc_chr11_7211__fullTreeAnc83_20240416.fa__fullTreeAnc83refChr13769:1617207-1617455()']
Sparc_chr11_7211__fullTreeAnc91_20240416.fa__fullTreeAnc91refChr1566:536962-537211()_RC	['Sparc_chr11_7211__fullTreeAnc92_20240416.fa__fullTreeAnc92refChr2608:2856089-2856338()', 'Sparc_chr11_7211__fullTreeAnc93_20240416.fa__fullTreeAnc93refChr3446:829319-829568()_RC', 'Sparc_chr11_7211__Macaca_fascicularis_20240416.fa__CM001924.1:151020940-151021189()_RC', 'Sparc_chr11_7211__Macaca_mulatta_20240416.fa__CM002982.3:149822763-149823012()_RC', 'Sparc_chr11_7211__Macaca_nemestrina_20240416.fa__KQ007139.1:1692631-1692880()']
Sparc_chr11_7211__Erythrocebus_patas_20240416.fa__EryPat_scaffold_163564:1683-1921()_RC	['Sparc_chr11_7211__fullTreeAnc94_20240416.fa__fullTreeAnc94refChr13454:6740-6978()']
Sparc_chr11_7211__fullTreeAnc103_20240416.fa__fullTreeAnc103refChr3757:792565-792812()_RC	['Sparc_chr11_7211__fullTreeAnc96_20240416.fa__fullTreeAnc96refChr5317:2069403-2069650()_RC']
Sparc_chr11_7211__fullTreeAnc100_20240416.fa__fullTreeAnc100refChr13299:323759-324007()	['Sparc_chr11_7211__fullTreeAnc98_20240416.fa__fullTreeAnc98refChr7653:427139-427387()_RC', 'Sparc_chr11_7211__fullTreeAnc99_20240416.fa__fullTreeAnc99refChr8357:320660-320908()', 'Sparc_chr11_7211__Nasalis_larvatus_20240416.fa__NasLar_scaffold_7839:13041-13289()']
Sparc_chr11_7211__fullTreeAnc161_20240416.fa__fullTreeAnc161refChr3036:1427684-1427912()_RC	['Sparc_chr11_7211__Monodon_monoceros_20240416.fa__MonMon_M_scaffold_32036:6545-6773()']
Sparc_chr11_7211__fullTreeAnc104_20240416.fa__fullTreeAnc104refChr2257:208370-208598()_RC	['Sparc_chr11_7211__Pan_troglodytes_20240416.fa__CM009243.2:129877403-129877631()_RC']
Sparc_chr11_7211__fullTreeAnc71_20240416.fa__fullTreeAnc71refChr11816:73546-73779()	['Sparc_chr11_7211__Propithecus_coquereli_20240416.fa__KQ025735.1:1589952-1590185()']
Sparc_chr11_7211__fullTreeAnc187_20240416.fa__fullTreeAnc187refChr3283:194437-194670()_RC	['Sparc_chr11_7211__Rangifer_tarandus_20240416.fa__RanTarSib_scaffold_3055:177128-177361()']
Sparc_chr11_7211__fullTreeAnc97_20240416.fa__fullTreeAnc97refChr7157:632268-632510()_RC	['Sparc_chr11_7211__Rhinopithecus_roxellana_20240416.fa__KN300216.1:1101044-1101286()']
